Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",2569,"(+/- 54 )",2170,"(+/- 40 )",1845,"(+/- 37 )",1562,"(+/- 36 )",1555,"(+/- 40 )",1942,"(+/- 35 )",2906,"(+/- 60 )",2363,"(+/- 47 )",2488,"(+/- 61 )",1948,"(+/- 31 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",59732,"(+/- 3570 )",64591,"(+/- 3298 )",74581,"(+/- 3856 )",67880,"(+/- 3635 )",76669,"(+/- 3697 )",74253,"(+/- 3078 )",53818,"(+/- 3004 )",61975,"(+/- 3654 )",53074,"(+/- 3657 )",56719,"(+/- 3409 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",2730,"(+/- 782 )",2985,"(+/- 738 )",6621,"(+/- 1123 )",8384,"(+/- 1744 )",7007,"(+/- 1160 )",5580,"(+/- 1110 )",1033,"(+/- 591 )",2527,"(+/- 840 )",1657,"(+/- 682 )",2396,"(+/- 589 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",4328,"(+/- 1151 )",5399,"(+/- 1022 )",10485,"(+/- 1498 )",15765,"(+/- 2386 )",15274,"(+/- 1695 )",9169,"(+/- 1357 )",1581,"(+/- 570 )",5526,"(+/- 1415 )",2696,"(+/- 895 )",5330,"(+/- 1189 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",7921,"(+/- 1729 )",14522,"(+/- 1601 )",24159,"(+/- 2570 )",24674,"(+/- 2746 )",28187,"(+/- 2116 )",21119,"(+/- 1996 )",4417,"(+/- 975 )",10124,"(+/- 1447 )",4455,"(+/- 948 )",12954,"(+/- 1712 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",13291,"(+/- 1885 )",19416,"(+/- 2122 )",18602,"(+/- 1680 )",12729,"(+/- 2031 )",16702,"(+/- 1901 )",18604,"(+/- 1960 )",6141,"(+/- 1096 )",15224,"(+/- 1745 )",10563,"(+/- 1713 )",17071,"(+/- 2125 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",12518,"(+/- 1593 )",12974,"(+/- 1648 )",9185,"(+/- 1452 )",4136,"(+/- 1067 )",5396,"(+/- 1096 )",9422,"(+/- 1455 )",13005,"(+/- 1491 )",11411,"(+/- 1925 )",11750,"(+/- 1523 )",10769,"(+/- 1580 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",18944,"(+/- 1979 )",9295,"(+/- 1395 )",5529,"(+/- 1413 )",2192,"(+/- 700 )",4103,"(+/- 1198 )",10359,"(+/- 1330 )",27641,"(+/- 2433 )",17163,"(+/- 2043 )",21953,"(+/- 2310 )",8199,"(+/- 1406 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",820,"(+/- 22 )",685,"(+/- 16 )",570,"(+/- 13 )",472,"(+/- 16 )",518,"(+/- 14 )",616,"(+/- 20 )",1013,"(+/- 27 )",767,"(+/- 26 )",917,"(+/- 35 )",685,"(+/- 19 )"
Housing,"Gross Rent","Occupied units paying rent",82997,"(+/- 3787 )",107440,"(+/- 4087 )",91457,"(+/- 4290 )",80491,"(+/- 4301 )",97000,"(+/- 4183 )",86622,"(+/- 4374 )",185933,"(+/- 5960 )",70995,"(+/- 4242 )",131396,"(+/- 4286 )",111489,"(+/- 4777 )"
Housing,"Gross Rent","Less than $500",2434,"(+/- 1011 )",6324,"(+/- 1163 )",5131,"(+/- 1235 )",7606,"(+/- 1750 )",7536,"(+/- 1493 )",7034,"(+/- 1281 )",6963,"(+/- 1464 )",4064,"(+/- 1184 )",6295,"(+/- 1362 )",3201,"(+/- 1070 )"
Housing,"Gross Rent","$500 to $999",6910,"(+/- 1254 )",12403,"(+/- 2230 )",20200,"(+/- 2061 )",34290,"(+/- 3459 )",41584,"(+/- 2895 )",18690,"(+/- 2385 )",10398,"(+/- 2136 )",11852,"(+/- 1869 )",8039,"(+/- 1747 )",13202,"(+/- 2169 )"
Housing,"Gross Rent","$1,000 to $1,499",12611,"(+/- 1970 )",35569,"(+/- 3483 )",32285,"(+/- 2746 )",28858,"(+/- 3426 )",32533,"(+/- 2826 )",27461,"(+/- 2646 )",44589,"(+/- 4259 )",18726,"(+/- 2429 )",28590,"(+/- 2986 )",37650,"(+/- 3151 )"
Housing,"Gross Rent","$1,500 to $1,999",25421,"(+/- 2670 )",32505,"(+/- 3251 )",21694,"(+/- 2764 )",6211,"(+/- 1335 )",11542,"(+/- 1723 )",21101,"(+/- 2699 )",55470,"(+/- 4823 )",18511,"(+/- 2271 )",42815,"(+/- 3786 )",39310,"(+/- 4014 )"
Housing,"Gross Rent","$2,000 to $2,499",17869,"(+/- 1935 )",12625,"(+/- 1958 )",8473,"(+/- 1978 )",1699,"(+/- 817 )",1762,"(+/- 733 )",7950,"(+/- 1312 )",33414,"(+/- 3727 )",9166,"(+/- 1921 )",24600,"(+/- 2889 )",14281,"(+/- 2170 )"
Housing,"Gross Rent","$2,500 to $2,999",7545,"(+/- 1273 )",6191,"(+/- 1390 )",2370,"(+/- 1030 )",140,"(+/- 172 )",1158,"(+/- 716 )",2606,"(+/- 858 )",16670,"(+/- 2628 )",4735,"(+/- 1313 )",10029,"(+/- 1904 )",2165,"(+/- 792 )"
Housing,"Gross Rent","$3,000 or more",10207,"(+/- 1519 )",1823,"(+/- 759 )",1304,"(+/- 484 )",1687,"(+/- 828 )",885,"(+/- 421 )",1780,"(+/- 660 )",18429,"(+/- 2214 )",3941,"(+/- 1233 )",11028,"(+/- 1792 )",1680,"(+/- 738 )"
Housing,"Gross Rent","Median (dollars)",1884,"(+/- 39 )",1493,"(+/- 42 )",1325,"(+/- 34 )",978,"(+/- 39 )",994,"(+/- 23 )",1320,"(+/- 43 )",1780,"(+/- 38 )",1523,"(+/- 60 )",1766,"(+/- 31 )",1522,"(+/- 40 )"
Housing,"Gross Rent","No rent paid",3166,"(+/- 1045 )",3190,"(+/- 993 )",5112,"(+/- 1253 )",7439,"(+/- 1488 )",5658,"(+/- 1213 )",4594,"(+/- 1293 )",2806,"(+/- 1096 )",2925,"(+/- 859 )",4099,"(+/- 1253 )",3545,"(+/- 1232 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",298959,"(+/- 5452 )",306067,"(+/- 4228 )",301455,"(+/- 3274 )",259928,"(+/- 2425 )",301159,"(+/- 2982 )",300949,"(+/- 5401 )",373393,"(+/- 5995 )",284410,"(+/- 5663 )",296031,"(+/- 5134 )",299904,"(+/- 5496 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",10706,"(+/- 1908 )",15401,"(+/- 2248 )",16239,"(+/- 2453 )",13115,"(+/- 2008 )",17383,"(+/- 1907 )",16407,"(+/- 2213 )",18604,"(+/- 2828 )",10080,"(+/- 1637 )",15217,"(+/- 1753 )",12403,"(+/- 2002 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",5733,"(+/- 1335 )",7587,"(+/- 1263 )",9484,"(+/- 1574 )",10197,"(+/- 1653 )",12990,"(+/- 1878 )",8486,"(+/- 1678 )",8160,"(+/- 1681 )",5374,"(+/- 1282 )",9463,"(+/- 1846 )",7590,"(+/- 1686 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",9851,"(+/- 1605 )",15742,"(+/- 2104 )",18654,"(+/- 2164 )",16647,"(+/- 1913 )",22949,"(+/- 2525 )",19079,"(+/- 2361 )",16910,"(+/- 2226 )",12653,"(+/- 2092 )",15377,"(+/- 1936 )",16066,"(+/- 2430 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",12203,"(+/- 1681 )",20105,"(+/- 2676 )",19728,"(+/- 2577 )",22336,"(+/- 2573 )",26008,"(+/- 2507 )",17353,"(+/- 2271 )",17377,"(+/- 2591 )",13818,"(+/- 1892 )",12567,"(+/- 2372 )",19073,"(+/- 2326 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",21161,"(+/- 2622 )",31930,"(+/- 2243 )",30573,"(+/- 3152 )",33467,"(+/- 2994 )",39959,"(+/- 2891 )",35323,"(+/- 3471 )",27729,"(+/- 2943 )",21283,"(+/- 2294 )",26513,"(+/- 3066 )",30510,"(+/- 2821 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",35418,"(+/- 2690 )",49421,"(+/- 3600 )",50100,"(+/- 3119 )",50686,"(+/- 3890 )",56149,"(+/- 3345 )",51708,"(+/- 4038 )",46867,"(+/- 4109 )",39345,"(+/- 3498 )",39168,"(+/- 3262 )",54375,"(+/- 4056 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",35367,"(+/- 3048 )",41593,"(+/- 3112 )",46072,"(+/- 3303 )",33672,"(+/- 2922 )",38994,"(+/- 2757 )",41023,"(+/- 3397 )",36145,"(+/- 3487 )",33797,"(+/- 2957 )",33567,"(+/- 3089 )",48653,"(+/- 3811 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",59315,"(+/- 4071 )",60137,"(+/- 4422 )",59419,"(+/- 3497 )",45137,"(+/- 2918 )",48945,"(+/- 3211 )",53089,"(+/- 3648 )",64290,"(+/- 4946 )",58198,"(+/- 4094 )",54449,"(+/- 3300 )",56475,"(+/- 4576 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",37726,"(+/- 3455 )",31451,"(+/- 2917 )",24595,"(+/- 2278 )",16675,"(+/- 2026 )",20681,"(+/- 2327 )",29014,"(+/- 2879 )",43213,"(+/- 3527 )",36056,"(+/- 3045 )",32391,"(+/- 3125 )",32627,"(+/- 3149 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",71479,"(+/- 3722 )",32700,"(+/- 2560 )",26591,"(+/- 2538 )",17996,"(+/- 2226 )",17101,"(+/- 1841 )",29467,"(+/- 2408 )",94098,"(+/- 4587 )",53806,"(+/- 3233 )",57319,"(+/- 3710 )",22132,"(+/- 1997 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",113054,"(+/- 3058 )",81690,"(+/- 2676 )",78425,"(+/- 1623 )",67191,"(+/- 2106 )",62597,"(+/- 2598 )",76189,"(+/- 2642 )",110165,"(+/- 3721 )",103625,"(+/- 3030 )",96760,"(+/- 3040 )",79629,"(+/- 1832 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",157502,"(+/- 4941 )",104262,"(+/- 2647 )",98289,"(+/- 2716 )",86626,"(+/- 2975 )",82181,"(+/- 2341 )",101623,"(+/- 3029 )",152669,"(+/- 5228 )",136457,"(+/- 3981 )",135569,"(+/- 4849 )",97403,"(+/- 2472 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",795493,"(+/- 13430 )",752625,"(+/- 10954 )",776271,"(+/- 3412 )",745810,"(+/- 3804 )",747406,"(+/- 3328 )",714509,"(+/- 9162 )",794022,"(+/- 9232 )",780504,"(+/- 13521 )",753934,"(+/- 10164 )",757801,"(+/- 13155 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",758963,"(+/- 13012 )",708509,"(+/- 11641 )",722972,"(+/- 5763 )",655799,"(+/- 7383 )",709527,"(+/- 4584 )",672401,"(+/- 10349 )",760781,"(+/- 9399 )",735017,"(+/- 12851 )",698003,"(+/- 10179 )",708350,"(+/- 13377 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",634103,"(+/- 14021 )",542838,"(+/- 11014 )",518020,"(+/- 11799 )",411811,"(+/- 11624 )",479989,"(+/- 10602 )",506244,"(+/- 12033 )",642938,"(+/- 10691 )",590560,"(+/- 12078 )",511447,"(+/- 10925 )",536390,"(+/- 12550 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",218330,"(+/- 8967 )",267015,"(+/- 10233 )",321308,"(+/- 9796 )",333332,"(+/- 9619 )",337111,"(+/- 10543 )",303652,"(+/- 8915 )",200524,"(+/- 9560 )",242456,"(+/- 10647 )",265919,"(+/- 11095 )",289142,"(+/- 13523 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",36530,"(+/- 3999 )",44116,"(+/- 5041 )",53299,"(+/- 4532 )",90011,"(+/- 6962 )",37879,"(+/- 4255 )",42108,"(+/- 4424 )",33241,"(+/- 4842 )",45487,"(+/- 5343 )",55931,"(+/- 6316 )",49451,"(+/- 6232 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",197812,"(+/- 6590 )",157375,"(+/- 6034 )",182351,"(+/- 2363 )",221046,"(+/- 3124 )",174005,"(+/- 3076 )",147024,"(+/- 4019 )",126000,"(+/- 6130 )",201827,"(+/- 7125 )",168263,"(+/- 7373 )",189985,"(+/- 5686 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",4909,"(+/- 1446 )",3960,"(+/- 1195 )",5622,"(+/- 1474 )",9047,"(+/- 2731 )",4414,"(+/- 1377 )",4665,"(+/- 1178 )",2420,"(+/- 1164 )",6290,"(+/- 2015 )",6785,"(+/- 2141 )",6507,"(+/- 2402 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.4,"(+/- 0.8 )",6.0,"(+/- 1.0 )",6.9,"(+/- 1.1 )",8.9,"(+/- 1.2 )",7.7,"(+/- 1.1 )",6.0,"(+/- 0.9 )",4.7,"(+/- 0.9 )",4.7,"(+/- 0.8 )",8.4,"(+/- 1.1 )",6.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",6.8,"(+/- 1.5 )",10.0,"(+/- 2.1 )",12.0,"(+/- 2.3 )",13.4,"(+/- 1.9 )",12.4,"(+/- 2.5 )",10.2,"(+/- 2.0 )",6.7,"(+/- 2.0 )",7.0,"(+/- 1.5 )",12.9,"(+/- 2.0 )",10.7,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",4.3,"(+/- 2.1 )",9.8,"(+/- 4.2 )",16.5,"(+/- 5.6 )",14.1,"(+/- 7.0 )",9.6,"(+/- 4.5 )",8.8,"(+/- 3.7 )",5.8,"(+/- 4.5 )",4.9,"(+/- 3.2 )",7.9,"(+/- 4.5 )",5.3,"(+/- 3.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",3.2,"(+/- 0.7 )",3.1,"(+/- 0.7 )",3.5,"(+/- 0.8 )",3.9,"(+/- 1.0 )",3.3,"(+/- 0.7 )",2.6,"(+/- 0.7 )",2.4,"(+/- 0.7 )",2.8,"(+/- 0.8 )",4.3,"(+/- 1.0 )",2.7,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",3.2,"(+/- 1.2 )",3.7,"(+/- 1.3 )",5.0,"(+/- 1.7 )",4.6,"(+/- 1.7 )",3.2,"(+/- 1.4 )",3.5,"(+/- 1.7 )",2.2,"(+/- 1.2 )",3.4,"(+/- 1.4 )",6.2,"(+/- 1.9 )",3.9,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.8,"(+/- 1.4 )",5.2,"(+/- 3.5 )",7.1,"(+/- 4.4 )",5.0,"(+/- 4.8 )",2.4,"(+/- 2.3 )",2.0,"(+/- 2.3 )",0.0,"(+/- 1.3 )",2.8,"(+/- 2.6 )",6.2,"(+/- 4.6 )",1.2,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",21.0,"(+/- 4.8 )",19.0,"(+/- 4.8 )",22.6,"(+/- 4.3 )",26.0,"(+/- 4.8 )",24.5,"(+/- 4.9 )",21.3,"(+/- 4.4 )",16.8,"(+/- 5.1 )",18.0,"(+/- 4.4 )",24.3,"(+/- 4.3 )",21.2,"(+/- 3.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",27.5,"(+/- 7.5 )",28.4,"(+/- 7.8 )",34.0,"(+/- 6.7 )",33.9,"(+/- 6.4 )",33.0,"(+/- 6.8 )",28.8,"(+/- 6.4 )",24.5,"(+/- 9.5 )",25.2,"(+/- 6.3 )",32.7,"(+/- 6.0 )",26.9,"(+/- 4.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",57.6,"(+/- 32.3 )",30.2,"(+/- 15.6 )",47.6,"(+/- 18.2 )",39.7,"(+/- 20.6 )",39.4,"(+/- 18.6 )",35.4,"(+/- 15.9 )",55.9,"(+/- 26.5 )",19.4,"(+/- 13.9 )",5.2,"(+/- 7.1 )",21.3,"(+/- 13.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",7.3,"(+/- 0.9 )",9.9,"(+/- 1.0 )",10.4,"(+/- 0.9 )",12.5,"(+/- 1.1 )",11.7,"(+/- 1.0 )",9.6,"(+/- 0.9 )",9.7,"(+/- 1.1 )",7.0,"(+/- 0.8 )",11.8,"(+/- 1.1 )",9.7,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",7.8,"(+/- 1.9 )",12.2,"(+/- 2.6 )",12.9,"(+/- 2.3 )",16.7,"(+/- 2.5 )",11.8,"(+/- 2.4 )",11.4,"(+/- 2.2 )",9.1,"(+/- 3.0 )",8.2,"(+/- 1.8 )",16.7,"(+/- 2.7 )",12.6,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",7.4,"(+/- 1.8 )",12.0,"(+/- 2.6 )",12.1,"(+/- 2.3 )",16.5,"(+/- 2.4 )",11.6,"(+/- 2.4 )",11.0,"(+/- 2.2 )",8.9,"(+/- 3.0 )",8.0,"(+/- 1.8 )",16.4,"(+/- 2.8 )",12.3,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",7.3,"(+/- 2.6 )",11.8,"(+/- 3.4 )",15.4,"(+/- 4.5 )",21.0,"(+/- 4.3 )",12.3,"(+/- 3.4 )",11.2,"(+/- 3.3 )",7.4,"(+/- 3.6 )",8.3,"(+/- 2.9 )",17.5,"(+/- 4.7 )",11.9,"(+/- 3.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",7.5,"(+/- 2.0 )",12.0,"(+/- 3.0 )",11.0,"(+/- 2.2 )",15.0,"(+/- 2.8 )",11.4,"(+/- 2.7 )",10.9,"(+/- 2.4 )",9.6,"(+/- 3.7 )",7.9,"(+/- 1.9 )",16.0,"(+/- 2.9 )",12.4,"(+/- 2.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",7.2,"(+/- 0.8 )",9.3,"(+/- 0.8 )",9.7,"(+/- 0.7 )",10.9,"(+/- 1.0 )",11.6,"(+/- 0.8 )",9.2,"(+/- 0.8 )",9.8,"(+/- 0.9 )",6.6,"(+/- 0.7 )",10.5,"(+/- 0.9 )",8.8,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.3,"(+/- 1.3 )",7.5,"(+/- 1.2 )",8.3,"(+/- 1.4 )",10.7,"(+/- 1.6 )",9.0,"(+/- 1.1 )",7.1,"(+/- 1.2 )",9.0,"(+/- 1.6 )",6.9,"(+/- 1.5 )",10.4,"(+/- 1.5 )",7.4,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.5,"(+/- 0.9 )",6.6,"(+/- 1.2 )",7.0,"(+/- 1.1 )",10.2,"(+/- 1.3 )",7.6,"(+/- 1.1 )",6.5,"(+/- 1.0 )",5.3,"(+/- 1.2 )",4.9,"(+/- 0.9 )",9.6,"(+/- 1.4 )",7.1,"(+/- 1.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",17.2,"(+/- 1.8 )",21.1,"(+/- 1.8 )",23.8,"(+/- 2.1 )",24.0,"(+/- 2.2 )",25.1,"(+/- 1.9 )",20.8,"(+/- 1.8 )",17.3,"(+/- 1.6 )",18.7,"(+/- 2.2 )",19.3,"(+/- 2.0 )",20.0,"(+/- 2.0 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",193340,"(+/- 7296 )",165562,"(+/- 6657 )",163061,"(+/- 4425 )",202301,"(+/- 5071 )",188910,"(+/- 4399 )",147513,"(+/- 5146 )",160611,"(+/- 7385 )",190452,"(+/- 6596 )",169161,"(+/- 7196 )",181074,"(+/- 6514 )"
Education,"School Enrollment","Nursery school, preschool",11105,"(+/- 1614 )",9395,"(+/- 1735 )",7679,"(+/- 1472 )",9103,"(+/- 2027 )",9045,"(+/- 1718 )",8911,"(+/- 1540 )",10742,"(+/- 1879 )",6899,"(+/- 1232 )",8534,"(+/- 1711 )",8999,"(+/- 1725 )"
Education,"School Enrollment",Kindergarten,11269,"(+/- 1851 )",6285,"(+/- 1329 )",9004,"(+/- 1713 )",9837,"(+/- 1799 )",7791,"(+/- 1360 )",7100,"(+/- 1475 )",6747,"(+/- 1491 )",9573,"(+/- 1886 )",9232,"(+/- 1699 )",9147,"(+/- 1680 )"
Education,"School Enrollment","Elementary school (grades 1-8)",86623,"(+/- 4325 )",65986,"(+/- 4000 )",78350,"(+/- 2779 )",98749,"(+/- 3121 )",72926,"(+/- 2039 )",65499,"(+/- 3294 )",50134,"(+/- 3566 )",90433,"(+/- 5361 )",69984,"(+/- 4509 )",80544,"(+/- 3801 )"
Education,"School Enrollment","High school (grades 9-12)",41414,"(+/- 2800 )",33058,"(+/- 2744 )",40378,"(+/- 2648 )",50424,"(+/- 2773 )",36701,"(+/- 2092 )",30059,"(+/- 2107 )",24077,"(+/- 2478 )",46674,"(+/- 3250 )",35119,"(+/- 2526 )",39037,"(+/- 3227 )"
Education,"School Enrollment","College or graduate school",42929,"(+/- 3794 )",50838,"(+/- 4792 )",27650,"(+/- 3073 )",34188,"(+/- 3294 )",62447,"(+/- 3571 )",35944,"(+/- 3376 )",68911,"(+/- 5816 )",36873,"(+/- 3425 )",46292,"(+/- 4341 )",43347,"(+/- 3578 )"
Education,"Educational Attainment","Population 25 years and over",559386,"(+/- 8890 )",543504,"(+/- 7082 )",548041,"(+/- 2973 )",471989,"(+/- 3219 )",519426,"(+/- 2898 )",541660,"(+/- 7116 )",606586,"(+/- 8978 )",530297,"(+/- 9771 )",544001,"(+/- 8262 )",536259,"(+/- 8469 )"
Education,"Educational Attainment","Less than 9th grade",10784,"(+/- 2078 )",16093,"(+/- 2666 )",16022,"(+/- 2328 )",54833,"(+/- 4221 )",11009,"(+/- 1713 )",10142,"(+/- 2003 )",13618,"(+/- 3021 )",15582,"(+/- 2253 )",31676,"(+/- 3977 )",14275,"(+/- 2358 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",18102,"(+/- 2976 )",19483,"(+/- 2635 )",28039,"(+/- 3300 )",34402,"(+/- 3155 )",20788,"(+/- 2341 )",19594,"(+/- 2170 )",9788,"(+/- 1888 )",22985,"(+/- 3225 )",22435,"(+/- 3329 )",23655,"(+/- 3350 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",95780,"(+/- 5771 )",127354,"(+/- 6371 )",153197,"(+/- 5759 )",122825,"(+/- 5116 )",127806,"(+/- 6013 )",127481,"(+/- 6040 )",64380,"(+/- 6041 )",119365,"(+/- 5913 )",96290,"(+/- 6025 )",134198,"(+/- 7114 )"
Education,"Educational Attainment","Some college, no degree",111935,"(+/- 4803 )",126794,"(+/- 5159 )",137617,"(+/- 6191 )",102650,"(+/- 4829 )",131428,"(+/- 6200 )",132195,"(+/- 5191 )",82920,"(+/- 5263 )",112215,"(+/- 5615 )",95251,"(+/- 5316 )",136770,"(+/- 5936 )"
Education,"Educational Attainment","Associate's degree",48100,"(+/- 3785 )",55428,"(+/- 3941 )",61111,"(+/- 4258 )",46458,"(+/- 3773 )",70211,"(+/- 4954 )",64686,"(+/- 4063 )",38575,"(+/- 3453 )",53409,"(+/- 4494 )",44439,"(+/- 3575 )",62314,"(+/- 4292 )"
Education,"Educational Attainment","Bachelor's degree",162406,"(+/- 7522 )",128964,"(+/- 5861 )",96300,"(+/- 4738 )",69919,"(+/- 4938 )",99671,"(+/- 4983 )",116725,"(+/- 5723 )",223981,"(+/- 7736 )",129345,"(+/- 6704 )",149942,"(+/- 7280 )",110212,"(+/- 4913 )"
Education,"Educational Attainment","Graduate or professional degree",112279,"(+/- 5639 )",69388,"(+/- 4264 )",55755,"(+/- 4175 )",40902,"(+/- 3351 )",58513,"(+/- 4006 )",70837,"(+/- 4676 )",173324,"(+/- 6415 )",77396,"(+/- 4831 )",103968,"(+/- 5289 )",54835,"(+/- 4316 )"
Education,"Educational Attainment","Percent high school graduate or higher",94.8,"(+/- 0.6 )",93.5,"(+/- 0.7 )",92.0,"(+/- 0.7 )",81.1,"(+/- 0.9 )",93.9,"(+/- 0.6 )",94.5,"(+/- 0.5 )",96.1,"(+/- 0.6 )",92.7,"(+/- 0.7 )",90.1,"(+/- 0.9 )",92.9,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",49.1,"(+/- 1.3 )",36.5,"(+/- 1.3 )",27.7,"(+/- 1.1 )",23.5,"(+/- 1.2 )",30.5,"(+/- 1.1 )",34.6,"(+/- 1.2 )",65.5,"(+/- 1.3 )",39.0,"(+/- 1.1 )",46.7,"(+/- 1.3 )",30.8,"(+/- 1.1 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
