Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",175,H,107,G,23,H,237,H,113,G,801,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",2825,H,544,G,105,G,293,J,3828,G,367,G
Business,"Paid employees for pay period including March 12",Utilities,1165,H,1054,G,1881,J,1729,H,1071,H,1366,G
Business,"Paid employees for pay period including March 12",Construction,10173,G,12620,G,17841,G,12208,G,4886,G,17980,G
Business,"Paid employees for pay period including March 12",Manufacturing,50183,G,50788,G,51426,G,35601,G,17280,G,42755,G
Business,"Paid employees for pay period including March 12","Wholesale trade",7837,G,7581,G,19462,G,15081,G,4673,G,10336,G
Business,"Paid employees for pay period including March 12","Retail trade",32055,H,36314,H,44492,G,34398,G,28045,G,40188,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",13010,G,9488,G,52650,J,24550,H,5735,G,12012,G
Business,"Paid employees for pay period including March 12",Information,2818,G,2800,G,8909,H,2925,G,4141,H,6350,H
Business,"Paid employees for pay period including March 12","Finance and insurance",6454,G,8373,G,30890,H,13307,G,5219,G,8417,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",1909,H,2374,G,5732,G,3014,G,1606,G,3232,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",5666,G,8057,G,24807,G,9929,G,6878,G,17996,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",719,G,3211,G,23150,G,6254,H,1341,G,6527,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",9684,G,14858,G,27698,G,14852,G,7471,G,19855,G
Business,"Paid employees for pay period including March 12","Educational services",3152,H,4538,H,8355,G,4249,H,4142,G,4956,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",34015,G,38902,G,68365,G,36747,H,37384,G,50130,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",1735,H,2394,G,6340,G,3923,G,618,G,4365,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",21501,G,27364,G,42779,G,31077,G,18654,G,36134,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",7962,G,9535,G,19507,G,10411,G,4121,G,12580,G
Business,"Paid employees for pay period including March 12","Industries not classified",31,J,33,H,21,J,10,J,25,J,56,J
Business,"Annual payroll ($1,000)","Total for all sectors",8422892,G,9760745,G,24575289,G,12377594,G,5524199,G,13151887,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",8077,H,4429,H,1436,H,9801,H,2718,G,33127,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",163351,H,31548,H,8458,G,20431,J,212090,G,22449,G
Business,"Annual payroll ($1,000)",Utilities,99687,H,90458,G,224015,J,171781,H,78182,H,147696,G
Business,"Annual payroll ($1,000)",Construction,523101,G,667765,G,1057199,G,753387,G,228959,G,1094960,G
Business,"Annual payroll ($1,000)",Manufacturing,2457747,G,2701027,G,3307739,G,2219846,G,653443,G,2334264,G
Business,"Annual payroll ($1,000)","Wholesale trade",393526,G,375463,G,1344389,G,1133801,H,201257,G,644716,G
Business,"Annual payroll ($1,000)","Retail trade",893344,H,1040492,H,1296821,G,937624,G,762150,G,1140267,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",646204,G,460480,G,3306083,J,1291257,H,238398,G,523170,G
Business,"Annual payroll ($1,000)",Information,117277,G,129115,G,598533,H,166402,G,146366,H,272790,H
Business,"Annual payroll ($1,000)","Finance and insurance",334198,G,522403,G,2911826,H,927381,G,247933,G,621900,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",67859,G,81535,G,304050,G,152265,H,56289,G,133514,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",273270,G,449166,H,1647267,G,719110,G,212097,G,1168721,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",48754,G,213694,G,2140345,G,483049,H,77584,G,575055,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",325919,G,368770,G,915646,G,521044,G,228294,H,658872,G
Business,"Annual payroll ($1,000)","Educational services",84738,H,100126,G,259903,G,125107,H,112674,G,145452,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1467531,G,1859847,G,3831171,G,1921588,H,1703888,G,2604337,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",33991,H,40765,G,152035,G,65637,G,11859,G,106180,G
Business,"Annual payroll ($1,000)","Accommodation and food services",290869,G,387236,G,670026,G,454487,G,251767,G,541408,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",192731,G,235905,G,597651,G,303221,G,97611,G,382116,G
Business,"Annual payroll ($1,000)","Industries not classified",718,H,521,G,696,G,375,G,640,H,893,G
Business,"Total Establishments","Total for all sectors",13926,X,14218,X,19450,X,14412,X,10885,X,17346,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",52,X,20,X,4,X,44,X,33,X,83,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",61,X,45,X,4,X,18,X,155,X,34,X
Business,"Total Establishments",Utilities,73,X,50,X,29,X,74,X,59,X,62,X
Business,"Total Establishments",Construction,1174,X,1516,X,1355,X,1447,X,669,X,1374,X
Business,"Total Establishments",Manufacturing,761,X,608,X,663,X,599,X,367,X,647,X
Business,"Total Establishments","Wholesale trade",641,X,554,X,988,X,652,X,378,X,698,X
Business,"Total Establishments","Retail trade",2655,X,2468,X,2562,X,2121,X,2426,X,2576,X
Business,"Total Establishments","Transportation and warehousing",504,X,468,X,579,X,565,X,457,X,374,X
Business,"Total Establishments",Information,220,X,200,X,388,X,226,X,256,X,346,X
Business,"Total Establishments","Finance and insurance",929,X,996,X,1550,X,926,X,750,X,1148,X
Business,"Total Establishments","Real estate and rental and leasing",456,X,595,X,1093,X,656,X,356,X,887,X
Business,"Total Establishments","Professional, scientific, and technical services",918,X,974,X,2203,X,1382,X,735,X,1916,X
Business,"Total Establishments","Management of companies and enterprises",49,X,58,X,235,X,101,X,56,X,84,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",535,X,649,X,1100,X,720,X,350,X,840,X
Business,"Total Establishments","Educational services",118,X,123,X,227,X,134,X,83,X,203,X
Business,"Total Establishments","Health care and social assistance",1654,X,1900,X,2534,X,1649,X,1706,X,2352,X
Business,"Total Establishments","Arts, entertainment, and recreation",144,X,201,X,323,X,223,X,90,X,296,X
Business,"Total Establishments","Accommodation and food services",1228,X,1244,X,1779,X,1403,X,943,X,1604,X
Business,"Total Establishments","Other services (except public administration)",1725,X,1526,X,1819,X,1453,X,992,X,1790,X
Business,"Total Establishments","Industries not classified",29,X,23,X,15,X,19,X,24,X,32,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
