Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",32513,"(+/- 2678 )",36578,"(+/- 3864 )",33157,"(+/- 3341 )",43973,"(+/- 3821 )",32712,"(+/- 2949 )",31211,"(+/- 3343 )",38671,"(+/- 3246 )",44622,"(+/- 4079 )",42234,"(+/- 3748 )",36634,"(+/- 3072 )",35283,"(+/- 3665 )",40016,"(+/- 3597 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",49364,"(+/- 2973 )",57738,"(+/- 3834 )",65751,"(+/- 4148 )",60721,"(+/- 4139 )",56175,"(+/- 3553 )",49808,"(+/- 3064 )",55550,"(+/- 3379 )",48593,"(+/- 4234 )",53356,"(+/- 3928 )",50176,"(+/- 4115 )",53121,"(+/- 3443 )",60008,"(+/- 4112 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",34391,"(+/- 2573 )",37071,"(+/- 3022 )",38488,"(+/- 3205 )",35631,"(+/- 2565 )",40675,"(+/- 3104 )",31118,"(+/- 2753 )",40402,"(+/- 2736 )",19933,"(+/- 2331 )",24144,"(+/- 2457 )",26409,"(+/- 3227 )",37897,"(+/- 2990 )",29878,"(+/- 2876 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",42964,"(+/- 2471 )",40030,"(+/- 2795 )",35096,"(+/- 2246 )",34720,"(+/- 2644 )",41861,"(+/- 2682 )",33027,"(+/- 2523 )",38941,"(+/- 2551 )",23126,"(+/- 2326 )",29289,"(+/- 2875 )",27027,"(+/- 2646 )",43231,"(+/- 3442 )",30596,"(+/- 2747 )"
Housing,Value,"Owner-occupied units",198649,"(+/- 4218 )",214798,"(+/- 5807 )",238130,"(+/- 5071 )",227385,"(+/- 5310 )",215967,"(+/- 4885 )",172676,"(+/- 4411 )",226798,"(+/- 4027 )",95497,"(+/- 4924 )",136156,"(+/- 5608 )",117329,"(+/- 4559 )",220913,"(+/- 4893 )",188676,"(+/- 4508 )"
Housing,Value,"Less than $50,000",5887,"(+/- 1525 )",8516,"(+/- 1552 )",6660,"(+/- 1162 )",7871,"(+/- 1479 )",4068,"(+/- 1201 )",4477,"(+/- 1079 )",4495,"(+/- 1183 )",3924,"(+/- 1275 )",3807,"(+/- 1124 )",5498,"(+/- 1515 )",3845,"(+/- 1049 )",4713,"(+/- 1176 )"
Housing,Value,"$50,000 to $99,999",7091,"(+/- 1204 )",8152,"(+/- 1618 )",3376,"(+/- 852 )",9964,"(+/- 1641 )",2333,"(+/- 904 )",2680,"(+/- 862 )",1362,"(+/- 649 )",1268,"(+/- 678 )",1794,"(+/- 642 )",884,"(+/- 498 )",2178,"(+/- 800 )",9136,"(+/- 1700 )"
Housing,Value,"$100,000 to $149,999",18122,"(+/- 2261 )",17977,"(+/- 2066 )",9297,"(+/- 1622 )",8242,"(+/- 1743 )",2643,"(+/- 782 )",2532,"(+/- 847 )",3093,"(+/- 767 )",1285,"(+/- 643 )",2927,"(+/- 894 )",1861,"(+/- 784 )",1677,"(+/- 611 )",4825,"(+/- 1250 )"
Housing,Value,"$150,000 to $199,999",37241,"(+/- 3224 )",32216,"(+/- 3075 )",22987,"(+/- 2551 )",8813,"(+/- 1591 )",7897,"(+/- 1508 )",4148,"(+/- 965 )",6159,"(+/- 1245 )",3651,"(+/- 1202 )",4028,"(+/- 1044 )",5299,"(+/- 1167 )",3514,"(+/- 1252 )",8953,"(+/- 2028 )"
Housing,Value,"$200,000 to $299,999",66223,"(+/- 3943 )",62524,"(+/- 4764 )",64687,"(+/- 3505 )",31274,"(+/- 2681 )",24999,"(+/- 2376 )",21712,"(+/- 2471 )",20595,"(+/- 2013 )",10172,"(+/- 1614 )",12466,"(+/- 1518 )",23229,"(+/- 2571 )",16432,"(+/- 2174 )",28406,"(+/- 2857 )"
Housing,Value,"$300,000 to $499,999",51858,"(+/- 2920 )",56446,"(+/- 3264 )",92907,"(+/- 4557 )",72172,"(+/- 4189 )",74365,"(+/- 4563 )",85126,"(+/- 4147 )",81379,"(+/- 4220 )",37254,"(+/- 3197 )",59574,"(+/- 3973 )",52595,"(+/- 3759 )",77286,"(+/- 3907 )",71363,"(+/- 3235 )"
Housing,Value,"$500,000 to $999,999",11263,"(+/- 1476 )",22093,"(+/- 2044 )",34030,"(+/- 2893 )",74988,"(+/- 3482 )",82052,"(+/- 3364 )",46159,"(+/- 3111 )",91818,"(+/- 4370 )",31655,"(+/- 3698 )",46387,"(+/- 3311 )",23068,"(+/- 2558 )",101597,"(+/- 3427 )",56012,"(+/- 3055 )"
Housing,Value,"$1,000,000 or more",964,"(+/- 483 )",6874,"(+/- 933 )",4186,"(+/- 1035 )",14061,"(+/- 1913 )",17610,"(+/- 2511 )",5842,"(+/- 1063 )",17897,"(+/- 2124 )",6288,"(+/- 1465 )",5173,"(+/- 1136 )",4895,"(+/- 1012 )",14384,"(+/- 1802 )",5268,"(+/- 920 )"
Housing,Value,"Median (dollars)",243100,"(+/- 4794 )",265500,"(+/- 6053 )",319600,"(+/- 4666 )",428800,"(+/- 10020 )",478400,"(+/- 7935 )",413200,"(+/- 8529 )",490400,"(+/- 9558 )",441600,"(+/- 14924 )",444000,"(+/- 8630 )",371400,"(+/- 8627 )",518000,"(+/- 10836 )",390900,"(+/- 7906 )"
Housing,"Mortgage Status","Owner-occupied units",198649,"(+/- 4218 )",214798,"(+/- 5807 )",238130,"(+/- 5071 )",227385,"(+/- 5310 )",215967,"(+/- 4885 )",172676,"(+/- 4411 )",226798,"(+/- 4027 )",95497,"(+/- 4924 )",136156,"(+/- 5608 )",117329,"(+/- 4559 )",220913,"(+/- 4893 )",188676,"(+/- 4508 )"
Housing,"Mortgage Status","Housing units with a mortgage",130280,"(+/- 4451 )",135944,"(+/- 6011 )",155066,"(+/- 4895 )",140668,"(+/- 4774 )",139711,"(+/- 4329 )",108367,"(+/- 4269 )",150979,"(+/- 4149 )",59378,"(+/- 4383 )",79645,"(+/- 4434 )",82013,"(+/- 4341 )",145367,"(+/- 5007 )",120691,"(+/- 4109 )"
Housing,"Mortgage Status","Housing units without a mortgage",68369,"(+/- 3458 )",78854,"(+/- 4123 )",83064,"(+/- 3936 )",86717,"(+/- 4220 )",76256,"(+/- 3522 )",64309,"(+/- 3604 )",75819,"(+/- 4078 )",36119,"(+/- 3131 )",56511,"(+/- 4399 )",35316,"(+/- 3439 )",75546,"(+/- 4282 )",67985,"(+/- 3416 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",130280,"(+/- 4451 )",135944,"(+/- 6011 )",155066,"(+/- 4895 )",140668,"(+/- 4774 )",139711,"(+/- 4329 )",108367,"(+/- 4269 )",150979,"(+/- 4149 )",59378,"(+/- 4383 )",79645,"(+/- 4434 )",82013,"(+/- 4341 )",145367,"(+/- 5007 )",120691,"(+/- 4109 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",811,"(+/- 390 )",1212,"(+/- 679 )",1247,"(+/- 600 )",399,"(+/- 324 )",770,"(+/- 395 )",745,"(+/- 560 )",1389,"(+/- 861 )",1076,"(+/- 760 )",930,"(+/- 659 )",1124,"(+/- 718 )",477,"(+/- 329 )",1164,"(+/- 581 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",4210,"(+/- 989 )",5659,"(+/- 1425 )",6613,"(+/- 1345 )",6824,"(+/- 1408 )",2877,"(+/- 955 )",1915,"(+/- 693 )",1875,"(+/- 902 )",1342,"(+/- 754 )",1391,"(+/- 677 )",923,"(+/- 501 )",2384,"(+/- 1059 )",3076,"(+/- 946 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",23613,"(+/- 2597 )",26862,"(+/- 3401 )",24398,"(+/- 2655 )",15130,"(+/- 2032 )",8607,"(+/- 1372 )",7510,"(+/- 1301 )",8208,"(+/- 1335 )",1629,"(+/- 771 )",3489,"(+/- 890 )",5068,"(+/- 1157 )",6582,"(+/- 1403 )",11875,"(+/- 2333 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",41443,"(+/- 2627 )",40593,"(+/- 3939 )",41203,"(+/- 3097 )",22610,"(+/- 2430 )",18683,"(+/- 2272 )",18763,"(+/- 2581 )",18816,"(+/- 2175 )",7521,"(+/- 1674 )",8776,"(+/- 1746 )",12887,"(+/- 1826 )",14468,"(+/- 1906 )",18624,"(+/- 2385 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",27842,"(+/- 2510 )",28952,"(+/- 3277 )",37124,"(+/- 3211 )",27462,"(+/- 2610 )",20779,"(+/- 1860 )",27874,"(+/- 2607 )",26361,"(+/- 2652 )",10582,"(+/- 1964 )",14999,"(+/- 2025 )",22113,"(+/- 2895 )",23533,"(+/- 2905 )",22996,"(+/- 2826 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",15331,"(+/- 1743 )",16723,"(+/- 2347 )",21075,"(+/- 2546 )",22188,"(+/- 2655 )",27309,"(+/- 2705 )",19107,"(+/- 2197 )",25346,"(+/- 2277 )",9022,"(+/- 1875 )",18991,"(+/- 2894 )",15296,"(+/- 2108 )",27007,"(+/- 2270 )",17553,"(+/- 2360 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",17030,"(+/- 1764 )",15943,"(+/- 1847 )",23406,"(+/- 2730 )",46055,"(+/- 3347 )",60686,"(+/- 3162 )",32453,"(+/- 2808 )",68984,"(+/- 3769 )",28206,"(+/- 2893 )",31069,"(+/- 2753 )",24602,"(+/- 2385 )",70916,"(+/- 3261 )",45403,"(+/- 3697 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1937,"(+/- 35 )",1925,"(+/- 36 )",2055,"(+/- 35 )",2462,"(+/- 50 )",2832,"(+/- 48 )",2453,"(+/- 49 )",2872,"(+/- 61 )",2918,"(+/- 120 )",2770,"(+/- 59 )",2475,"(+/- 53 )",2967,"(+/- 58 )",2574,"(+/- 100 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",68369,"(+/- 3458 )",78854,"(+/- 4123 )",83064,"(+/- 3936 )",86717,"(+/- 4220 )",76256,"(+/- 3522 )",64309,"(+/- 3604 )",75819,"(+/- 4078 )",36119,"(+/- 3131 )",56511,"(+/- 4399 )",35316,"(+/- 3439 )",75546,"(+/- 4282 )",67985,"(+/- 3416 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",1508,"(+/- 920 )",1340,"(+/- 557 )",1113,"(+/- 467 )",2337,"(+/- 763 )",738,"(+/- 386 )",1757,"(+/- 719 )",1438,"(+/- 623 )",1319,"(+/- 559 )",1663,"(+/- 677 )",1390,"(+/- 887 )",585,"(+/- 357 )",1483,"(+/- 600 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",3065,"(+/- 913 )",3608,"(+/- 899 )",3353,"(+/- 928 )",4000,"(+/- 1133 )",1258,"(+/- 643 )",1399,"(+/- 535 )",1527,"(+/- 545 )",1579,"(+/- 689 )",2316,"(+/- 972 )",1577,"(+/- 660 )",1203,"(+/- 537 )",1878,"(+/- 942 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",5089,"(+/- 1054 )",10325,"(+/- 1469 )",10852,"(+/- 1556 )",6954,"(+/- 1421 )",3395,"(+/- 1088 )",1967,"(+/- 804 )",2616,"(+/- 939 )",1997,"(+/- 924 )",2096,"(+/- 669 )",1923,"(+/- 743 )",2777,"(+/- 618 )",4932,"(+/- 1313 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",11621,"(+/- 1881 )",17781,"(+/- 2116 )",19513,"(+/- 2243 )",12745,"(+/- 2325 )",5326,"(+/- 1066 )",6690,"(+/- 1287 )",5173,"(+/- 1061 )",2568,"(+/- 718 )",3461,"(+/- 1112 )",3912,"(+/- 957 )",3508,"(+/- 917 )",7846,"(+/- 1632 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",16363,"(+/- 1764 )",19484,"(+/- 2253 )",18614,"(+/- 2003 )",15464,"(+/- 1940 )",8807,"(+/- 1417 )",13107,"(+/- 1615 )",10582,"(+/- 1667 )",4806,"(+/- 1379 )",8146,"(+/- 1387 )",5972,"(+/- 1622 )",9781,"(+/- 1629 )",10871,"(+/- 1686 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",30723,"(+/- 2647 )",26316,"(+/- 2300 )",29619,"(+/- 2355 )",45217,"(+/- 2849 )",56732,"(+/- 3200 )",39389,"(+/- 2897 )",54483,"(+/- 3637 )",23850,"(+/- 2659 )",38829,"(+/- 3670 )",20542,"(+/- 2248 )",57692,"(+/- 3729 )",40975,"(+/- 2935 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",958,"(+/- 23 )",861,"(+/- 19 )",870,"(+/- 21 )",1024,"(+/- 31 )",1247,"(+/- 31 )",1086,"(+/- 21 )",1277,"(+/- 38 )",1180,"(+/- 53 )",1189,"(+/- 46 )",1095,"(+/- 47 )",1303,"(+/- 25 )",1126,"(+/- 26 )"
Housing,"Gross Rent","Occupied units paying rent",88342,"(+/- 4455 )",76466,"(+/- 4831 )",52547,"(+/- 3400 )",65769,"(+/- 4704 )",56618,"(+/- 3468 )",98852,"(+/- 4141 )",57765,"(+/- 3568 )",223346,"(+/- 6258 )",143168,"(+/- 5543 )",187760,"(+/- 6046 )",61906,"(+/- 3242 )",95976,"(+/- 4833 )"
Housing,"Gross Rent","Less than $500",7634,"(+/- 1610 )",10119,"(+/- 1669 )",2999,"(+/- 918 )",3831,"(+/- 1212 )",2045,"(+/- 718 )",6437,"(+/- 1476 )",3956,"(+/- 1177 )",12404,"(+/- 2165 )",10395,"(+/- 1901 )",19448,"(+/- 2628 )",2726,"(+/- 905 )",8843,"(+/- 1472 )"
Housing,"Gross Rent","$500 to $999",16777,"(+/- 2242 )",17804,"(+/- 2782 )",5414,"(+/- 1053 )",5007,"(+/- 1401 )",5331,"(+/- 1319 )",5880,"(+/- 1381 )",3948,"(+/- 815 )",25154,"(+/- 3462 )",13382,"(+/- 1946 )",31022,"(+/- 3037 )",2874,"(+/- 1002 )",10380,"(+/- 1966 )"
Housing,"Gross Rent","$1,000 to $1,499",41099,"(+/- 3527 )",28234,"(+/- 3462 )",18690,"(+/- 2212 )",21837,"(+/- 3069 )",18863,"(+/- 2166 )",26648,"(+/- 2683 )",16464,"(+/- 2482 )",74963,"(+/- 4982 )",52617,"(+/- 3700 )",64846,"(+/- 4928 )",15224,"(+/- 2025 )",28879,"(+/- 3501 )"
Housing,"Gross Rent","$1,500 to $1,999",16075,"(+/- 2297 )",15252,"(+/- 2768 )",16840,"(+/- 1984 )",17100,"(+/- 2346 )",15832,"(+/- 2218 )",33949,"(+/- 3346 )",15932,"(+/- 2097 )",50133,"(+/- 4611 )",41800,"(+/- 3514 )",47425,"(+/- 3684 )",20249,"(+/- 2337 )",28445,"(+/- 3097 )"
Housing,"Gross Rent","$2,000 to $2,499",4497,"(+/- 1022 )",4059,"(+/- 1214 )",5703,"(+/- 1201 )",10931,"(+/- 2489 )",8061,"(+/- 1488 )",18979,"(+/- 2836 )",9800,"(+/- 1761 )",25825,"(+/- 3218 )",13330,"(+/- 2184 )",17225,"(+/- 2192 )",10016,"(+/- 1722 )",12444,"(+/- 1872 )"
Housing,"Gross Rent","$2,500 to $2,999",1540,"(+/- 707 )",217,"(+/- 210 )",2442,"(+/- 1098 )",3977,"(+/- 1420 )",3052,"(+/- 1021 )",4873,"(+/- 1381 )",3761,"(+/- 976 )",14070,"(+/- 2094 )",6274,"(+/- 1483 )",4528,"(+/- 1145 )",6034,"(+/- 1354 )",3716,"(+/- 1204 )"
Housing,"Gross Rent","$3,000 or more",720,"(+/- 580 )",781,"(+/- 555 )",459,"(+/- 272 )",3086,"(+/- 1088 )",3434,"(+/- 1127 )",2086,"(+/- 965 )",3904,"(+/- 1008 )",20797,"(+/- 2413 )",5370,"(+/- 1419 )",3266,"(+/- 1030 )",4783,"(+/- 1094 )",3269,"(+/- 996 )"
Housing,"Gross Rent","Median (dollars)",1241,"(+/- 38 )",1157,"(+/- 40 )",1478,"(+/- 46 )",1565,"(+/- 73 )",1565,"(+/- 62 )",1654,"(+/- 34 )",1642,"(+/- 59 )",1494,"(+/- 37 )",1459,"(+/- 26 )",1348,"(+/- 29 )",1750,"(+/- 40 )",1498,"(+/- 47 )"
Housing,"Gross Rent","No rent paid",3011,"(+/- 1141 )",4946,"(+/- 1285 )",2386,"(+/- 708 )",2357,"(+/- 838 )",3144,"(+/- 928 )",2627,"(+/- 928 )",1995,"(+/- 758 )",4185,"(+/- 1482 )",4459,"(+/- 1232 )",1886,"(+/- 716 )",2615,"(+/- 984 )",2845,"(+/- 1108 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",290002,"(+/- 3490 )",296210,"(+/- 4806 )",293063,"(+/- 4530 )",295511,"(+/- 5029 )",275729,"(+/- 4339 )",274155,"(+/- 4099 )",286558,"(+/- 4495 )",323028,"(+/- 5117 )",283783,"(+/- 5267 )",306975,"(+/- 5319 )",285434,"(+/- 4700 )",287497,"(+/- 4330 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",15161,"(+/- 2225 )",14741,"(+/- 2390 )",12956,"(+/- 1941 )",13417,"(+/- 2673 )",9737,"(+/- 1982 )",11261,"(+/- 1699 )",7946,"(+/- 1585 )",22704,"(+/- 2958 )",17923,"(+/- 2793 )",25849,"(+/- 3374 )",8102,"(+/- 1606 )",11940,"(+/- 2041 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",10293,"(+/- 1998 )",11466,"(+/- 2101 )",6343,"(+/- 1238 )",8021,"(+/- 1854 )",4316,"(+/- 1102 )",7717,"(+/- 1369 )",6731,"(+/- 1407 )",15657,"(+/- 2578 )",11466,"(+/- 1887 )",17169,"(+/- 2788 )",3882,"(+/- 1182 )",9611,"(+/- 2310 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",18960,"(+/- 2440 )",22460,"(+/- 2861 )",12458,"(+/- 1777 )",18614,"(+/- 2821 )",10883,"(+/- 1917 )",14973,"(+/- 2159 )",9612,"(+/- 1713 )",24190,"(+/- 2674 )",17673,"(+/- 2110 )",30982,"(+/- 3228 )",10360,"(+/- 1734 )",14315,"(+/- 2423 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",19202,"(+/- 2244 )",23496,"(+/- 3190 )",17102,"(+/- 2054 )",19351,"(+/- 2671 )",13628,"(+/- 1930 )",15305,"(+/- 1855 )",8964,"(+/- 1561 )",24142,"(+/- 3473 )",20817,"(+/- 3230 )",21829,"(+/- 2966 )",11462,"(+/- 1850 )",15479,"(+/- 2110 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",26930,"(+/- 2607 )",29397,"(+/- 2861 )",24218,"(+/- 1952 )",25652,"(+/- 3126 )",18257,"(+/- 2548 )",22258,"(+/- 2755 )",18537,"(+/- 2371 )",35732,"(+/- 3996 )",26762,"(+/- 2840 )",31419,"(+/- 3585 )",17788,"(+/- 2213 )",25475,"(+/- 3135 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",46699,"(+/- 4010 )",49735,"(+/- 4659 )",46648,"(+/- 3605 )",38065,"(+/- 3163 )",33171,"(+/- 2844 )",36403,"(+/- 2854 )",32574,"(+/- 2928 )",49129,"(+/- 3757 )",46097,"(+/- 3823 )",50692,"(+/- 4524 )",28340,"(+/- 2626 )",36125,"(+/- 3151 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",34152,"(+/- 3029 )",39785,"(+/- 3472 )",41339,"(+/- 3368 )",33304,"(+/- 3372 )",29448,"(+/- 2614 )",33027,"(+/- 2741 )",33266,"(+/- 3224 )",35956,"(+/- 2835 )",33050,"(+/- 3226 )",36682,"(+/- 3760 )",35051,"(+/- 3156 )",32226,"(+/- 2931 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",57218,"(+/- 3673 )",51612,"(+/- 3087 )",57449,"(+/- 3330 )",49353,"(+/- 3350 )",56344,"(+/- 3781 )",55733,"(+/- 3480 )",50770,"(+/- 3841 )",45413,"(+/- 3316 )",46785,"(+/- 3696 )",45196,"(+/- 3895 )",52690,"(+/- 3615 )",56779,"(+/- 3703 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",30919,"(+/- 2913 )",24350,"(+/- 2384 )",35181,"(+/- 3300 )",37705,"(+/- 3065 )",35030,"(+/- 2886 )",31511,"(+/- 3038 )",36681,"(+/- 3147 )",26385,"(+/- 2938 )",27145,"(+/- 3348 )",20885,"(+/- 2468 )",37640,"(+/- 2691 )",30746,"(+/- 3303 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",30468,"(+/- 2762 )",29168,"(+/- 2780 )",39369,"(+/- 3161 )",52029,"(+/- 3541 )",64915,"(+/- 3252 )",45967,"(+/- 3039 )",81477,"(+/- 3490 )",43720,"(+/- 3285 )",36065,"(+/- 2879 )",26272,"(+/- 2212 )",80119,"(+/- 3316 )",54801,"(+/- 3522 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",80484,"(+/- 3096 )",73043,"(+/- 2705 )",89974,"(+/- 2878 )",93800,"(+/- 3172 )",114526,"(+/- 3589 )",96849,"(+/- 3251 )",125429,"(+/- 5043 )",69439,"(+/- 2980 )",75616,"(+/- 2837 )",61597,"(+/- 1855 )",124072,"(+/- 3073 )",98059,"(+/- 4318 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",104780,"(+/- 3028 )",99706,"(+/- 3702 )",115735,"(+/- 3166 )",129740,"(+/- 4632 )",152785,"(+/- 4207 )",124446,"(+/- 3563 )",174815,"(+/- 5822 )",106251,"(+/- 3728 )",107152,"(+/- 3695 )",90686,"(+/- 3388 )",167588,"(+/- 4467 )",132698,"(+/- 3924 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",742820,"(+/- 7536 )",721659,"(+/- 8870 )",743932,"(+/- 5969 )",799273,"(+/- 8886 )",749650,"(+/- 11795 )",755674,"(+/- 9517 )",752469,"(+/- 11937 )",793026,"(+/- 12585 )",776394,"(+/- 11705 )",797941,"(+/- 14087 )",754453,"(+/- 11282 )",776349,"(+/- 7006 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",701383,"(+/- 8637 )",674405,"(+/- 9941 )",710286,"(+/- 7622 )",766324,"(+/- 8713 )",713718,"(+/- 11589 )",700710,"(+/- 9830 )",720118,"(+/- 11685 )",664830,"(+/- 13407 )",691162,"(+/- 13398 )",712436,"(+/- 14692 )",725496,"(+/- 10782 )",726044,"(+/- 8711 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",520606,"(+/- 10915 )",500994,"(+/- 12347 )",579711,"(+/- 9300 )",587700,"(+/- 17117 )",606628,"(+/- 13686 )",557515,"(+/- 13004 )",625128,"(+/- 13296 )",421957,"(+/- 11693 )",460405,"(+/- 13221 )",466347,"(+/- 14069 )",632045,"(+/- 12160 )",569139,"(+/- 12151 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",271726,"(+/- 9685 )",290540,"(+/- 9660 )",245204,"(+/- 8541 )",301335,"(+/- 14047 )",197127,"(+/- 7626 )",222374,"(+/- 10076 )",184854,"(+/- 7962 )",286356,"(+/- 11837 )",296385,"(+/- 9685 )",310867,"(+/- 12964 )",186702,"(+/- 7136 )",245589,"(+/- 11270 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",41437,"(+/- 5153 )",47254,"(+/- 4821 )",33646,"(+/- 4747 )",32949,"(+/- 5504 )",35932,"(+/- 4947 )",54964,"(+/- 5706 )",32351,"(+/- 4396 )",128196,"(+/- 9544 )",85232,"(+/- 6730 )",85505,"(+/- 7374 )",28957,"(+/- 5638 )",50305,"(+/- 6104 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",172992,"(+/- 4282 )",161654,"(+/- 3860 )",155666,"(+/- 5193 )",211731,"(+/- 6975 )",169411,"(+/- 6288 )",175832,"(+/- 6282 )",173134,"(+/- 6218 )",175855,"(+/- 7150 )",179850,"(+/- 6500 )",196642,"(+/- 7439 )",173719,"(+/- 5613 )",182116,"(+/- 6219 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",5392,"(+/- 1851 )",5366,"(+/- 2153 )",4523,"(+/- 1647 )",4479,"(+/- 1608 )",4360,"(+/- 1484 )",7344,"(+/- 1948 )",3704,"(+/- 1657 )",12471,"(+/- 2781 )",8285,"(+/- 2161 )",10203,"(+/- 2877 )",5421,"(+/- 2132 )",4217,"(+/- 1585 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",8.4,"(+/- 1.2 )",8.9,"(+/- 1.0 )",5.1,"(+/- 1.0 )",7.5,"(+/- 1.1 )",4.3,"(+/- 0.9 )",5.6,"(+/- 0.9 )",3.5,"(+/- 0.7 )",12.8,"(+/- 1.5 )",11.2,"(+/- 1.4 )",13.3,"(+/- 1.9 )",3.3,"(+/- 0.7 )",5.7,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",12.9,"(+/- 2.1 )",13.9,"(+/- 2.2 )",7.8,"(+/- 1.8 )",13.0,"(+/- 2.3 )",6.0,"(+/- 1.5 )",8.5,"(+/- 1.8 )",4.2,"(+/- 1.4 )",20.8,"(+/- 2.7 )",18.0,"(+/- 2.7 )",19.5,"(+/- 3.0 )",4.3,"(+/- 1.3 )",8.2,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.0,"(+/- 4.3 )",10.8,"(+/- 5.7 )",8.3,"(+/- 4.9 )",18.4,"(+/- 7.3 )",3.4,"(+/- 2.1 )",5.6,"(+/- 3.7 )",2.1,"(+/- 1.5 )",8.3,"(+/- 3.9 )",17.4,"(+/- 6.4 )",19.2,"(+/- 5.5 )",3.5,"(+/- 2.3 )",8.1,"(+/- 6.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",4.7,"(+/- 1.2 )",4.4,"(+/- 1.0 )",2.2,"(+/- 0.6 )",5.7,"(+/- 1.1 )",2.7,"(+/- 0.8 )",3.2,"(+/- 0.9 )",2.2,"(+/- 0.6 )",7.4,"(+/- 1.7 )",6.3,"(+/- 1.4 )",6.5,"(+/- 1.7 )",2.4,"(+/- 0.7 )",2.8,"(+/- 0.7 )"
