Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.0,"(+/- 1.4 )",15.2,"(+/- 1.1 )",17.3,"(+/- 1.4 )",14.4,"(+/- 1.3 )",11.2,"(+/- 1.2 )",9.3,"(+/- 0.9 )",20.2,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",9.5,"(+/- 1.4 )",11.7,"(+/- 1.3 )",12.1,"(+/- 2.0 )",13.5,"(+/- 2.0 )",10.0,"(+/- 1.9 )",9.0,"(+/- 1.5 )",14.9,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",13.1,"(+/- 1.5 )",14.2,"(+/- 1.4 )",14.9,"(+/- 1.8 )",12.8,"(+/- 1.4 )",9.2,"(+/- 1.4 )",6.9,"(+/- 1.2 )",21.9,"(+/- 2.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",28.8,"(+/- 3.2 )",30.4,"(+/- 2.4 )",36.2,"(+/- 2.6 )",31.7,"(+/- 3.0 )",24.7,"(+/- 2.7 )",23.3,"(+/- 2.3 )",32.5,"(+/- 2.5 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",153862,"(+/- 5096 )",163562,"(+/- 5875 )",185866,"(+/- 6200 )",151274,"(+/- 5297 )",184001,"(+/- 5479 )",168142,"(+/- 5765 )",170734,"(+/- 7385 )"
Education,"School Enrollment","Nursery school, preschool",9457,"(+/- 2013 )",9268,"(+/- 1578 )",8890,"(+/- 1659 )",7777,"(+/- 1750 )",10900,"(+/- 1854 )",8986,"(+/- 1455 )",8587,"(+/- 2444 )"
Education,"School Enrollment",Kindergarten,9367,"(+/- 1774 )",7791,"(+/- 1502 )",8630,"(+/- 1992 )",8079,"(+/- 1502 )",9910,"(+/- 2193 )",8490,"(+/- 1510 )",8545,"(+/- 1781 )"
Education,"School Enrollment","Elementary school (grades 1-8)",70953,"(+/- 3229 )",72721,"(+/- 3667 )",69763,"(+/- 3447 )",71067,"(+/- 3382 )",74138,"(+/- 3228 )",72810,"(+/- 3295 )",65783,"(+/- 4086 )"
Education,"School Enrollment","High school (grades 9-12)",36552,"(+/- 2738 )",37489,"(+/- 3176 )",40247,"(+/- 4361 )",35750,"(+/- 2678 )",41105,"(+/- 2419 )",40396,"(+/- 2984 )",30880,"(+/- 2827 )"
Education,"School Enrollment","College or graduate school",27533,"(+/- 3341 )",36293,"(+/- 3576 )",58336,"(+/- 4169 )",28601,"(+/- 2996 )",47948,"(+/- 4625 )",37460,"(+/- 3491 )",56939,"(+/- 4745 )"
Education,"Educational Attainment","Population 25 years and over",510408,"(+/- 3128 )",470899,"(+/- 5458 )",500335,"(+/- 4754 )",488670,"(+/- 4485 )",537863,"(+/- 2184 )",501802,"(+/- 6755 )",441231,"(+/- 8541 )"
Education,"Educational Attainment","Less than 9th grade",14545,"(+/- 2350 )",17543,"(+/- 2049 )",19608,"(+/- 2708 )",27054,"(+/- 3621 )",21641,"(+/- 3219 )",12697,"(+/- 2165 )",13964,"(+/- 2097 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",39553,"(+/- 4874 )",43438,"(+/- 3939 )",49002,"(+/- 3986 )",47474,"(+/- 3838 )",37519,"(+/- 3690 )",26222,"(+/- 3279 )",46207,"(+/- 4527 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",169404,"(+/- 7138 )",163438,"(+/- 6194 )",151704,"(+/- 6529 )",172159,"(+/- 6366 )",133751,"(+/- 7083 )",129093,"(+/- 7019 )",159736,"(+/- 7468 )"
Education,"Educational Attainment","Some college, no degree",110122,"(+/- 6152 )",94380,"(+/- 4952 )",108428,"(+/- 6597 )",96838,"(+/- 5337 )",107865,"(+/- 7390 )",95270,"(+/- 5937 )",92759,"(+/- 6011 )"
Education,"Educational Attainment","Associate's degree",46971,"(+/- 4004 )",42593,"(+/- 2995 )",45243,"(+/- 4034 )",49900,"(+/- 4261 )",43826,"(+/- 4073 )",39305,"(+/- 3269 )",35190,"(+/- 3394 )"
Education,"Educational Attainment","Bachelor's degree",77910,"(+/- 4845 )",66607,"(+/- 4635 )",75017,"(+/- 5283 )",57904,"(+/- 4362 )",116268,"(+/- 6785 )",124533,"(+/- 5568 )",54037,"(+/- 3694 )"
Education,"Educational Attainment","Graduate or professional degree",51903,"(+/- 3433 )",42900,"(+/- 4212 )",51333,"(+/- 4654 )",37341,"(+/- 3834 )",76993,"(+/- 5486 )",74682,"(+/- 4392 )",39338,"(+/- 3289 )"
Education,"Educational Attainment","Percent high school graduate or higher",89.4,"(+/- 1.0 )",87.1,"(+/- 1.0 )",86.3,"(+/- 1.0 )",84.7,"(+/- 1.0 )",89.0,"(+/- 0.9 )",92.2,"(+/- 0.8 )",86.4,"(+/- 1.1 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",25.4,"(+/- 1.3 )",23.3,"(+/- 1.3 )",25.3,"(+/- 1.5 )",19.5,"(+/- 1.3 )",35.9,"(+/- 1.6 )",39.7,"(+/- 1.4 )",21.2,"(+/- 1.1 )"

"Source: 2021 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '-' The estimate could not be computed because there were an insufficient number of sample observations. For a ratio of medians estimate, one or both of the median estimates falls in the lowest interval or highest interval of an open-ended distribution. For a 5-year median estimate, the margin of error associated with a median was larger than the median itself."
"median- The median falls in the lowest interval of an open-ended distribution (for example '2,500-')"
"median+ The median falls in the highest interval of an open-ended distribution (for example '250,000+')"
"An '**' The margin of error could not be computed because there were an insufficient number of sample observations."
"An '***' The margin of error could not be computed because the median falls in the lowest interval or highest interval of an open-ended distribution. "
"An '*****' A margin of error is not appropriate because the corresponding estimate is controlled to an independent population or housing estimate. Effectively, the corresponding estimate has no sampling error and the margin of error may be treated as zero. "
"An 'N' The estimate or margin of error cannot be displayed because there were an insufficient number of sample cases in the selected geographic area."
"An '(X)' The estimate or margin of error is not applicable or not available.  "
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag","District 04 Estimate","District 04 Flag","District 05 Estimate","District 05 Flag","District 06 Estimate","District 06 Flag","District 07 Estimate","District 07 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",243986,G,218228,G,188103,G,198766,G,284681,G,265760,G,304428,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",969,G,1919,G,778,G,745,G,203,G,574,G,1192,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",520,G,240,J,547,J,2153,H,370,J,1406,G,639,G
Business,"Paid employees for pay period including March 12",Utilities,1505,G,2705,H,1102,H,1138,J,144,J,3126,J,5391,J
Business,"Paid employees for pay period including March 12",Construction,17723,G,9865,G,8212,G,8488,G,12850,G,18166,G,16871,G
Business,"Paid employees for pay period including March 12",Manufacturing,27031,G,27388,G,41690,G,56316,G,43680,G,17934,G,50648,H
Business,"Paid employees for pay period including March 12","Wholesale trade",11198,G,11554,G,6317,G,7354,G,9458,G,11425,G,16517,G
Business,"Paid employees for pay period including March 12","Retail trade",37339,G,31679,G,29002,G,27508,G,36040,G,39645,G,26248,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",12356,G,12662,G,7433,G,6065,G,8379,G,5997,G,18143,G
Business,"Paid employees for pay period including March 12",Information,3774,H,2771,H,1900,H,2151,H,5344,G,9607,G,4667,G
Business,"Paid employees for pay period including March 12","Finance and insurance",7528,H,7276,G,4585,G,5940,G,6889,H,20670,G,14682,J
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4359,G,2582,H,2188,G,1853,G,2975,G,4332,H,5358,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",12112,G,9900,G,5683,G,3985,G,51177,G,13790,G,11562,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",3346,G,1901,G,499,H,3107,H,2313,G,6241,G,3908,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",18582,H,13834,G,12335,G,10952,G,12574,G,20819,G,18932,G
Business,"Paid employees for pay period including March 12","Educational services",4673,H,3452,G,3168,H,714,G,4096,H,4460,H,3979,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",33235,G,37575,G,27639,G,31370,G,43272,H,36121,G,61377,H
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",3600,G,2459,H,1516,G,1180,G,4237,G,5998,G,2515,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",32757,G,27696,G,25754,G,19745,G,29629,G,29843,G,26090,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",11338,G,10744,G,7735,G,7979,G,11030,G,15577,G,15681,G
Business,"Paid employees for pay period including March 12","Industries not classified",41,J,26,J,20,J,23,J,21,J,29,J,28,J
Business,"Annual payroll ($1,000)","Total for all sectors",10733218,G,8997757,G,7000355,G,7555151,G,15001107,G,13723554,G,15500728,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",43425,G,104552,G,32387,G,27249,G,8673,H,28631,G,62193,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",46075,G,12281,H,37785,J,167647,H,21315,H,109728,G,37480,G
Business,"Annual payroll ($1,000)",Utilities,155214,H,303901,H,92930,H,110960,J,14286,J,441745,J,614181,J
Business,"Annual payroll ($1,000)",Construction,914276,G,515718,G,424812,G,422028,G,708774,G,1143967,G,1056156,G
Business,"Annual payroll ($1,000)",Manufacturing,1887934,G,1260205,G,2092910,G,2335113,G,2616026,G,994695,G,3076457,H
Business,"Annual payroll ($1,000)","Wholesale trade",663813,G,628476,G,320755,G,361481,G,576950,G,843150,G,993342,G
Business,"Annual payroll ($1,000)","Retail trade",1070543,G,912364,G,777622,G,786812,G,1037200,G,1136915,G,775983,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",574447,G,665906,G,295992,G,280358,G,465992,H,276343,G,809134,G
Business,"Annual payroll ($1,000)",Information,232561,G,137708,G,87830,H,119330,J,331460,G,734721,G,297207,G
Business,"Annual payroll ($1,000)","Finance and insurance",630779,G,486204,G,280346,G,327459,G,481835,H,2226237,G,1328485,H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",182614,G,102901,H,91478,G,62004,G,133979,G,331843,G,243277,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",785043,G,699627,G,267868,G,185281,G,4988712,G,976107,G,895804,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",284185,G,145677,G,30506,H,234217,G,208931,G,716680,G,292229,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",651467,H,377908,G,322414,G,298816,G,453160,G,839375,G,487309,G
Business,"Annual payroll ($1,000)","Educational services",158622,H,105565,G,90936,H,15508,G,142670,H,129000,J,115334,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1582770,G,1807147,G,1175840,G,1328449,G,2045838,H,1746750,G,3394792,H
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",53852,G,35050,G,35333,G,20378,G,52738,G,104488,G,44626,H
Business,"Annual payroll ($1,000)","Accommodation and food services",522922,G,393506,G,359111,G,277610,G,432403,G,485834,G,385935,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",292194,G,302520,G,183013,G,193902,G,279796,G,456598,G,590038,H
Business,"Annual payroll ($1,000)","Industries not classified",482,G,541,G,487,H,549,G,369,G,747,G,766,H
Business,"Total Establishments","Total for all sectors",16135,X,14142,X,11896,X,12537,X,15508,X,16582,X,13580,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",135,X,169,X,131,X,109,X,37,X,53,X,143,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",35,X,19,X,19,X,47,X,19,X,27,X,30,X
Business,"Total Establishments",Utilities,51,X,67,X,57,X,48,X,9,X,69,X,54,X
Business,"Total Establishments",Construction,1434,X,1050,X,992,X,950,X,1178,X,1479,X,871,X
Business,"Total Establishments",Manufacturing,564,X,492,X,552,X,755,X,649,X,499,X,591,X
Business,"Total Establishments","Wholesale trade",854,X,653,X,426,X,562,X,678,X,939,X,828,X
Business,"Total Establishments","Retail trade",2767,X,2576,X,2256,X,2468,X,2571,X,2564,X,2359,X
Business,"Total Establishments","Transportation and warehousing",602,X,462,X,376,X,463,X,353,X,376,X,576,X
Business,"Total Establishments",Information,286,X,268,X,202,X,184,X,278,X,292,X,265,X
Business,"Total Establishments","Finance and insurance",1153,X,1077,X,820,X,966,X,1022,X,1387,X,821,X
Business,"Total Establishments","Real estate and rental and leasing",928,X,589,X,520,X,425,X,792,X,858,X,579,X
Business,"Total Establishments","Professional, scientific, and technical services",1424,X,1193,X,895,X,805,X,1962,X,1833,X,1268,X
Business,"Total Establishments","Management of companies and enterprises",99,X,76,X,43,X,65,X,61,X,134,X,94,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",841,X,623,X,562,X,448,X,727,X,866,X,538,X
Business,"Total Establishments","Educational services",149,X,133,X,84,X,63,X,162,X,173,X,132,X
Business,"Total Establishments","Health care and social assistance",1449,X,1462,X,1203,X,1508,X,1865,X,1704,X,1374,X
Business,"Total Establishments","Arts, entertainment, and recreation",207,X,172,X,109,X,134,X,196,X,244,X,171,X
Business,"Total Establishments","Accommodation and food services",1479,X,1413,X,1249,X,1097,X,1393,X,1361,X,1329,X
Business,"Total Establishments","Other services (except public administration)",1656,X,1630,X,1377,X,1415,X,1536,X,1702,X,1538,X
Business,"Total Establishments","Industries not classified",22,X,18,X,23,X,25,X,20,X,22,X,19,X

"Source: 2020 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
