Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",172049,"(+/- 7982 )",196187,"(+/- 7352 )",222626,"(+/- 8866 )",174611,"(+/- 8410 )",176794,"(+/- 7106 )",234182,"(+/- 7515 )",146039,"(+/- 6409 )",247734,"(+/- 9260 )",176700,"(+/- 7287 )",220116,"(+/- 7302 )",246953,"(+/- 8481 )",222755,"(+/- 6088 )",222300,"(+/- 6567 )",258334,"(+/- 9090 )",240286,"(+/- 5360 )",249748,"(+/- 6541 )",222133,"(+/- 5993 )",251046,"(+/- 6866 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",18308,"(+/- 3468 )",18816,"(+/- 2734 )",32605,"(+/- 4162 )",34955,"(+/- 3984 )",21144,"(+/- 2885 )",17106,"(+/- 2389 )",20495,"(+/- 2789 )",33964,"(+/- 3737 )",24920,"(+/- 3339 )",33168,"(+/- 4214 )",32763,"(+/- 3590 )",23734,"(+/- 2867 )",21119,"(+/- 2441 )",19495,"(+/- 3054 )",18667,"(+/- 1984 )",23597,"(+/- 3015 )",24512,"(+/- 2813 )",20628,"(+/- 2272 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",24875,"(+/- 2823 )",12614,"(+/- 2470 )",15310,"(+/- 2157 )",30145,"(+/- 3602 )",43893,"(+/- 3562 )",5756,"(+/- 1255 )",37879,"(+/- 5070 )",3776,"(+/- 1027 )",29942,"(+/- 2713 )",4926,"(+/- 1040 )",5227,"(+/- 1177 )",2801,"(+/- 1015 )",4830,"(+/- 1601 )",2559,"(+/- 740 )",853,"(+/- 360 )",853,"(+/- 526 )",2067,"(+/- 663 )",560,"(+/- 296 )"
Workers,"Commuting to Work",Walked,8260,"(+/- 2032 )",5571,"(+/- 1689 )",6580,"(+/- 1653 )",11003,"(+/- 1956 )",13846,"(+/- 2221 )",4677,"(+/- 1208 )",30381,"(+/- 4486 )",3447,"(+/- 1095 )",12145,"(+/- 1620 )",11851,"(+/- 1899 )",3425,"(+/- 962 )",4035,"(+/- 1111 )",11849,"(+/- 2080 )",4149,"(+/- 1381 )",6783,"(+/- 1247 )",4955,"(+/- 1134 )",7271,"(+/- 1380 )",5677,"(+/- 994 )"
Workers,"Commuting to Work","Other means",7450,"(+/- 1590 )",8135,"(+/- 1929 )",4950,"(+/- 1521 )",8641,"(+/- 1991 )",12515,"(+/- 2380 )",4666,"(+/- 1323 )",16999,"(+/- 4085 )",5319,"(+/- 1240 )",14771,"(+/- 2310 )",4529,"(+/- 1172 )",4477,"(+/- 1444 )",2634,"(+/- 996 )",4017,"(+/- 1077 )",5819,"(+/- 1194 )",4113,"(+/- 1192 )",3830,"(+/- 1132 )",3454,"(+/- 974 )",2881,"(+/- 780 )"
Workers,"Commuting to Work","Worked from home",51569,"(+/- 4066 )",35845,"(+/- 3810 )",50975,"(+/- 4503 )",59519,"(+/- 4283 )",147027,"(+/- 7408 )",102721,"(+/- 6216 )",101878,"(+/- 6653 )",67412,"(+/- 4373 )",101064,"(+/- 6033 )",73009,"(+/- 4508 )",68586,"(+/- 4182 )",34082,"(+/- 3255 )",46410,"(+/- 3690 )",85423,"(+/- 4522 )",26201,"(+/- 2689 )",28372,"(+/- 3084 )",24421,"(+/- 2416 )",46043,"(+/- 3881 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",32.1,"(+/- 0.9 )",31.3,"(+/- 1.1 )",31.0,"(+/- 0.8 )",31.5,"(+/- 0.7 )",30.3,"(+/- 0.7 )",27.6,"(+/- 0.9 )",30.4,"(+/- 0.9 )",26.0,"(+/- 0.7 )",28.2,"(+/- 0.7 )",26.7,"(+/- 0.7 )",26.8,"(+/- 0.7 )",23.3,"(+/- 0.7 )",20.8,"(+/- 0.6 )",28.9,"(+/- 0.8 )",22.0,"(+/- 0.7 )",24.6,"(+/- 0.7 )",21.5,"(+/- 0.6 )",20.6,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",291659,"(+/- 9765 )",286160,"(+/- 9479 )",341303,"(+/- 10562 )",325431,"(+/- 9884 )",420736,"(+/- 10122 )",375276,"(+/- 8618 )",360998,"(+/- 10940 )",367388,"(+/- 10638 )",365449,"(+/- 9604 )",343696,"(+/- 7359 )",367777,"(+/- 9398 )",292696,"(+/- 7007 )",317020,"(+/- 7416 )",383249,"(+/- 10235 )",302083,"(+/- 5395 )",317202,"(+/- 6670 )",289098,"(+/- 7396 )",331971,"(+/- 6952 )"
Workers,Occupation,"Management, business, science, and arts occupations",116736,"(+/- 6568 )",96691,"(+/- 5758 )",129759,"(+/- 5470 )",115411,"(+/- 4790 )",249865,"(+/- 8505 )",200860,"(+/- 6701 )",195302,"(+/- 8703 )",138354,"(+/- 6785 )",205138,"(+/- 8038 )",158006,"(+/- 5588 )",146481,"(+/- 6531 )",105352,"(+/- 4997 )",134192,"(+/- 5943 )",171727,"(+/- 6619 )",101323,"(+/- 4114 )",111411,"(+/- 5352 )",93121,"(+/- 4773 )",147556,"(+/- 5445 )"
Workers,Occupation,"Service occupations",53279,"(+/- 4220 )",55701,"(+/- 4100 )",56958,"(+/- 5161 )",62549,"(+/- 4296 )",49026,"(+/- 3701 )",39682,"(+/- 3334 )",58973,"(+/- 5198 )",55042,"(+/- 4433 )",45145,"(+/- 4396 )",55584,"(+/- 4399 )",58081,"(+/- 4405 )",56222,"(+/- 4667 )",53338,"(+/- 4503 )",51573,"(+/- 5046 )",53389,"(+/- 3434 )",50665,"(+/- 3917 )",51622,"(+/- 3525 )",50209,"(+/- 3869 )"
Workers,Occupation,"Sales and office occupations",61941,"(+/- 5065 )",58199,"(+/- 4234 )",67128,"(+/- 4378 )",64964,"(+/- 5557 )",72139,"(+/- 4029 )",83766,"(+/- 5196 )",58615,"(+/- 4657 )",81876,"(+/- 4889 )",64013,"(+/- 4998 )",65999,"(+/- 3767 )",77956,"(+/- 5223 )",56802,"(+/- 4134 )",62063,"(+/- 4187 )",85591,"(+/- 6380 )",59589,"(+/- 3551 )",60342,"(+/- 3671 )",57305,"(+/- 4082 )",63347,"(+/- 4129 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",18206,"(+/- 2720 )",19945,"(+/- 2233 )",30046,"(+/- 3199 )",28311,"(+/- 3542 )",16337,"(+/- 2168 )",16143,"(+/- 2051 )",12958,"(+/- 2465 )",26733,"(+/- 2973 )",15258,"(+/- 2384 )",19680,"(+/- 2296 )",23419,"(+/- 2885 )",27347,"(+/- 2627 )",24379,"(+/- 2229 )",30097,"(+/- 3324 )",31456,"(+/- 2524 )",28722,"(+/- 2192 )",25831,"(+/- 2072 )",28971,"(+/- 2631 )"
Workers,Occupation,"Production, transportation, and material moving occupations",41497,"(+/- 3851 )",55624,"(+/- 4862 )",57412,"(+/- 4829 )",54196,"(+/- 4394 )",33369,"(+/- 3814 )",34825,"(+/- 3594 )",35150,"(+/- 3570 )",65383,"(+/- 5324 )",35895,"(+/- 3369 )",44427,"(+/- 3749 )",61840,"(+/- 4162 )",46973,"(+/- 3173 )",43048,"(+/- 3732 )",44261,"(+/- 3656 )",56326,"(+/- 3168 )",66062,"(+/- 3978 )",61219,"(+/- 4013 )",41888,"(+/- 3024 )"
Workers,Industry,"Civilian employed population 16 years and over",291659,"(+/- 9765 )",286160,"(+/- 9479 )",341303,"(+/- 10562 )",325431,"(+/- 9884 )",420736,"(+/- 10122 )",375276,"(+/- 8618 )",360998,"(+/- 10940 )",367388,"(+/- 10638 )",365449,"(+/- 9604 )",343696,"(+/- 7359 )",367777,"(+/- 9398 )",292696,"(+/- 7007 )",317020,"(+/- 7416 )",383249,"(+/- 10235 )",302083,"(+/- 5395 )",317202,"(+/- 6670 )",289098,"(+/- 7396 )",331971,"(+/- 6952 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",525,"(+/- 322 )",1855,"(+/- 645 )",1169,"(+/- 618 )",878,"(+/- 467 )",1124,"(+/- 589 )",1004,"(+/- 481 )",278,"(+/- 276 )",1034,"(+/- 578 )",1209,"(+/- 554 )",1397,"(+/- 679 )",815,"(+/- 453 )",5150,"(+/- 1157 )",6590,"(+/- 1476 )",1805,"(+/- 784 )",13452,"(+/- 1673 )",7306,"(+/- 1182 )",7169,"(+/- 1191 )",9123,"(+/- 1667 )"
Workers,Industry,Construction,13580,"(+/- 2363 )",14441,"(+/- 2349 )",21961,"(+/- 2695 )",21709,"(+/- 3129 )",15105,"(+/- 2467 )",16708,"(+/- 2311 )",11021,"(+/- 2399 )",22844,"(+/- 2716 )",13393,"(+/- 2143 )",16216,"(+/- 2371 )",20819,"(+/- 2965 )",16102,"(+/- 2079 )",15933,"(+/- 2232 )",29887,"(+/- 3978 )",19648,"(+/- 2147 )",20629,"(+/- 1950 )",18721,"(+/- 1997 )",19125,"(+/- 2479 )"
Workers,Industry,Manufacturing,22006,"(+/- 2732 )",27391,"(+/- 3602 )",35791,"(+/- 3366 )",40335,"(+/- 3931 )",35246,"(+/- 2512 )",50079,"(+/- 3506 )",26196,"(+/- 3380 )",59036,"(+/- 4522 )",36037,"(+/- 3289 )",49083,"(+/- 3131 )",44279,"(+/- 3403 )",32067,"(+/- 2796 )",32065,"(+/- 3159 )",49455,"(+/- 4325 )",44451,"(+/- 2814 )",52922,"(+/- 4213 )",49985,"(+/- 2945 )",38684,"(+/- 2906 )"
Workers,Industry,"Wholesale trade",5013,"(+/- 1398 )",5132,"(+/- 1402 )",9938,"(+/- 2123 )",8536,"(+/- 1713 )",8652,"(+/- 1441 )",13230,"(+/- 1919 )",8526,"(+/- 2438 )",13999,"(+/- 2123 )",8109,"(+/- 1875 )",12380,"(+/- 1958 )",12836,"(+/- 2216 )",6345,"(+/- 1146 )",6325,"(+/- 1279 )",13178,"(+/- 2168 )",6871,"(+/- 1091 )",11219,"(+/- 1884 )",6942,"(+/- 1202 )",9850,"(+/- 1620 )"
Workers,Industry,"Retail trade",28621,"(+/- 3393 )",32799,"(+/- 3827 )",35472,"(+/- 3208 )",33904,"(+/- 3264 )",32862,"(+/- 3257 )",35581,"(+/- 2843 )",26320,"(+/- 3857 )",38239,"(+/- 3726 )",32154,"(+/- 3095 )",37436,"(+/- 3041 )",41097,"(+/- 3494 )",32184,"(+/- 3262 )",33835,"(+/- 3772 )",44962,"(+/- 5212 )",34836,"(+/- 3622 )",35978,"(+/- 2710 )",34948,"(+/- 3199 )",35695,"(+/- 3665 )"
Workers,Industry,"Transportation and warehousing, and utilities",29288,"(+/- 3846 )",33840,"(+/- 3828 )",31727,"(+/- 3934 )",19358,"(+/- 2689 )",19915,"(+/- 2954 )",21010,"(+/- 2407 )",25152,"(+/- 3095 )",30237,"(+/- 3386 )",19218,"(+/- 2683 )",14163,"(+/- 2064 )",32705,"(+/- 4781 )",23063,"(+/- 2641 )",16536,"(+/- 2140 )",21096,"(+/- 2963 )",18631,"(+/- 2092 )",24862,"(+/- 2713 )",19322,"(+/- 2165 )",16569,"(+/- 2095 )"
Workers,Industry,Information,4835,"(+/- 1368 )",4413,"(+/- 1305 )",3714,"(+/- 1014 )",5251,"(+/- 966 )",11629,"(+/- 1533 )",9631,"(+/- 1285 )",8613,"(+/- 1697 )",5808,"(+/- 1229 )",8115,"(+/- 1467 )",4607,"(+/- 1158 )",7550,"(+/- 1647 )",3159,"(+/- 975 )",4105,"(+/- 1244 )",5575,"(+/- 1449 )",3627,"(+/- 974 )",3981,"(+/- 964 )",3293,"(+/- 827 )",3838,"(+/- 914 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",18353,"(+/- 2479 )",19542,"(+/- 3343 )",26224,"(+/- 3271 )",22076,"(+/- 3032 )",48076,"(+/- 3544 )",38389,"(+/- 3192 )",36153,"(+/- 4373 )",26029,"(+/- 2664 )",31899,"(+/- 3076 )",31526,"(+/- 2472 )",24543,"(+/- 2757 )",17784,"(+/- 2440 )",19561,"(+/- 2402 )",27898,"(+/- 2891 )",14006,"(+/- 1380 )",13883,"(+/- 1833 )",15400,"(+/- 1983 )",29036,"(+/- 2673 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",33406,"(+/- 3512 )",27379,"(+/- 3352 )",41662,"(+/- 3070 )",48226,"(+/- 3377 )",92324,"(+/- 5551 )",58508,"(+/- 4023 )",68315,"(+/- 5213 )",48627,"(+/- 4056 )",61511,"(+/- 4361 )",51302,"(+/- 3871 )",49125,"(+/- 4155 )",24275,"(+/- 2925 )",31003,"(+/- 3036 )",47341,"(+/- 4277 )",21465,"(+/- 2062 )",23628,"(+/- 2712 )",21653,"(+/- 2134 )",27545,"(+/- 2697 )"
Workers,Industry,"Educational services, and health care and social assistance",83841,"(+/- 5080 )",72534,"(+/- 5226 )",73084,"(+/- 4852 )",68956,"(+/- 4693 )",94084,"(+/- 5441 )",85606,"(+/- 5072 )",94143,"(+/- 6325 )",66117,"(+/- 4987 )",93637,"(+/- 5423 )",74096,"(+/- 4757 )",77027,"(+/- 5226 )",75339,"(+/- 4084 )",91313,"(+/- 5068 )",82070,"(+/- 5267 )",77510,"(+/- 3757 )",75884,"(+/- 4111 )",63818,"(+/- 3401 )",88938,"(+/- 4613 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",19114,"(+/- 3145 )",20054,"(+/- 2844 )",27340,"(+/- 3289 )",32477,"(+/- 3497 )",29594,"(+/- 3368 )",22846,"(+/- 2398 )",26882,"(+/- 4344 )",32211,"(+/- 3880 )",30093,"(+/- 3102 )",29018,"(+/- 3654 )",31144,"(+/- 3757 )",27793,"(+/- 3141 )",28432,"(+/- 3092 )",29201,"(+/- 4022 )",17585,"(+/- 1870 )",21159,"(+/- 2412 )",26495,"(+/- 2545 )",21882,"(+/- 2403 )"
Workers,Industry,"Other services, except public administration",16055,"(+/- 2624 )",11806,"(+/- 1736 )",15746,"(+/- 2640 )",14964,"(+/- 2061 )",18058,"(+/- 2383 )",13534,"(+/- 1782 )",14438,"(+/- 2819 )",14316,"(+/- 2046 )",19715,"(+/- 2203 )",14489,"(+/- 1952 )",13940,"(+/- 2531 )",12433,"(+/- 2129 )",13440,"(+/- 1881 )",15122,"(+/- 2111 )",14939,"(+/- 1612 )",15132,"(+/- 2138 )",10795,"(+/- 1350 )",12738,"(+/- 1594 )"
Workers,Industry,"Public administration",17022,"(+/- 2491 )",14974,"(+/- 2160 )",17475,"(+/- 2931 )",8761,"(+/- 1800 )",14067,"(+/- 2282 )",9150,"(+/- 1874 )",14961,"(+/- 3036 )",8891,"(+/- 1611 )",10359,"(+/- 1567 )",7983,"(+/- 1495 )",11897,"(+/- 2150 )",17002,"(+/- 2117 )",17882,"(+/- 1806 )",15659,"(+/- 2712 )",15062,"(+/- 1930 )",10619,"(+/- 1633 )",10557,"(+/- 1471 )",18948,"(+/- 1890 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",291659,"(+/- 9765 )",286160,"(+/- 9479 )",341303,"(+/- 10562 )",325431,"(+/- 9884 )",420736,"(+/- 10122 )",375276,"(+/- 8618 )",360998,"(+/- 10940 )",367388,"(+/- 10638 )",365449,"(+/- 9604 )",343696,"(+/- 7359 )",367777,"(+/- 9398 )",292696,"(+/- 7007 )",317020,"(+/- 7416 )",383249,"(+/- 10235 )",302083,"(+/- 5395 )",317202,"(+/- 6670 )",289098,"(+/- 7396 )",331971,"(+/- 6952 )"
Workers,"Class of Worker","Private wage and salary workers",227058,"(+/- 9909 )",229162,"(+/- 8883 )",274518,"(+/- 9402 )",270374,"(+/- 9689 )",356652,"(+/- 9660 )",315127,"(+/- 8643 )",292487,"(+/- 10683 )",320338,"(+/- 9999 )",307346,"(+/- 9311 )",290914,"(+/- 6586 )",311453,"(+/- 8582 )",228843,"(+/- 6714 )",238684,"(+/- 6884 )",316783,"(+/- 10976 )",231195,"(+/- 5144 )",255867,"(+/- 6959 )",236958,"(+/- 7145 )",261496,"(+/- 7502 )"
Workers,"Class of Worker","Government workers",53072,"(+/- 4422 )",43631,"(+/- 3447 )",49540,"(+/- 4343 )",33453,"(+/- 3339 )",42687,"(+/- 3975 )",44611,"(+/- 3177 )",51204,"(+/- 4791 )",32822,"(+/- 3546 )",34744,"(+/- 2885 )",33807,"(+/- 3692 )",42967,"(+/- 4142 )",48343,"(+/- 3384 )",63155,"(+/- 4209 )",51967,"(+/- 5119 )",48729,"(+/- 3551 )",43893,"(+/- 3186 )",34695,"(+/- 2816 )",53583,"(+/- 3589 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",10821,"(+/- 1934 )",12989,"(+/- 2488 )",16560,"(+/- 2707 )",19582,"(+/- 2533 )",21050,"(+/- 2337 )",15127,"(+/- 2437 )",16180,"(+/- 2543 )",13536,"(+/- 2228 )",22347,"(+/- 2443 )",18094,"(+/- 2104 )",12981,"(+/- 1981 )",15240,"(+/- 2142 )",14697,"(+/- 1924 )",14034,"(+/- 2080 )",21749,"(+/- 1956 )",16931,"(+/- 2581 )",16908,"(+/- 1835 )",16758,"(+/- 1917 )"
Workers,"Class of Worker","Unpaid family workers",708,"(+/- 513 )",378,"(+/- 354 )",685,"(+/- 503 )",2022,"(+/- 1102 )",347,"(+/- 239 )",411,"(+/- 379 )",1127,"(+/- 855 )",692,"(+/- 518 )",1012,"(+/- 587 )",881,"(+/- 497 )",376,"(+/- 243 )",270,"(+/- 178 )",484,"(+/- 307 )",465,"(+/- 315 )",410,"(+/- 238 )",511,"(+/- 334 )",537,"(+/- 284 )",134,"(+/- 131 )"
Housing,"Housing Occupancy","Total housing units",306389,"(+/- 6260 )",292238,"(+/- 5629 )",275907,"(+/- 6198 )",252093,"(+/- 5877 )",348175,"(+/- 7664 )",288135,"(+/- 4949 )",372078,"(+/- 7754 )",271382,"(+/- 5125 )",332071,"(+/- 6171 )",274474,"(+/- 3300 )",268156,"(+/- 4765 )",312422,"(+/- 2706 )",323236,"(+/- 3878 )",280923,"(+/- 4888 )",308840,"(+/- 2833 )",297876,"(+/- 2778 )",317329,"(+/- 3460 )",318570,"(+/- 3613 )"
Housing,"Housing Occupancy","Occupied housing units",274137,"(+/- 6287 )",259762,"(+/- 5370 )",261388,"(+/- 5627 )",233648,"(+/- 6096 )",321848,"(+/- 7178 )",278406,"(+/- 4897 )",332151,"(+/- 7549 )",259210,"(+/- 5210 )",304601,"(+/- 5861 )",258705,"(+/- 3187 )",256496,"(+/- 4736 )",271766,"(+/- 3874 )",282504,"(+/- 5002 )",268840,"(+/- 4838 )",272781,"(+/- 3933 )",275386,"(+/- 3681 )",284177,"(+/- 4531 )",295835,"(+/- 4492 )"
Housing,"Housing Occupancy","Vacant housing units",32252,"(+/- 2554 )",32476,"(+/- 2852 )",14519,"(+/- 2625 )",18445,"(+/- 1926 )",26327,"(+/- 3242 )",9729,"(+/- 1651 )",39927,"(+/- 3470 )",12172,"(+/- 2014 )",27470,"(+/- 3125 )",15769,"(+/- 2472 )",11660,"(+/- 1954 )",40656,"(+/- 3436 )",40732,"(+/- 3553 )",12083,"(+/- 2712 )",36059,"(+/- 2784 )",22490,"(+/- 2443 )",33152,"(+/- 2711 )",22735,"(+/- 2847 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,"(+/- 0.4 )",1.8,"(+/- 0.6 )",0.6,"(+/- 0.3 )",0.9,"(+/- 0.3 )",1.2,"(+/- 0.5 )",0.8,"(+/- 0.4 )",1.2,"(+/- 0.6 )",0.9,"(+/- 0.3 )",1.0,"(+/- 0.5 )",1.6,"(+/- 0.6 )",0.6,"(+/- 0.4 )",1.4,"(+/- 0.5 )",2.0,"(+/- 0.7 )",0.6,"(+/- 0.4 )",1.4,"(+/- 0.4 )",0.9,"(+/- 0.3 )",1.3,"(+/- 0.5 )",0.4,"(+/- 0.2 )"
Housing,"Housing Occupancy","Rental vacancy rate",6.2,"(+/- 1.3 )",3.3,"(+/- 1.1 )",3.9,"(+/- 1.4 )",4.5,"(+/- 0.9 )",6.7,"(+/- 1.3 )",3.6,"(+/- 1.5 )",7.0,"(+/- 1.4 )",4.4,"(+/- 1.4 )",8.9,"(+/- 1.7 )",5.8,"(+/- 1.8 )",4.3,"(+/- 1.4 )",5.5,"(+/- 1.6 )",10.5,"(+/- 2.1 )",4.0,"(+/- 2.0 )",6.4,"(+/- 1.7 )",3.6,"(+/- 1.3 )",4.8,"(+/- 1.0 )",4.3,"(+/- 1.4 )"
Housing,"Housing Tenure","Occupied housing units",274137,"(+/- 6287 )",259762,"(+/- 5370 )",261388,"(+/- 5627 )",233648,"(+/- 6096 )",321848,"(+/- 7178 )",278406,"(+/- 4897 )",332151,"(+/- 7549 )",259210,"(+/- 5210 )",304601,"(+/- 5861 )",258705,"(+/- 3187 )",256496,"(+/- 4736 )",271766,"(+/- 3874 )",282504,"(+/- 5002 )",268840,"(+/- 4838 )",272781,"(+/- 3933 )",275386,"(+/- 3681 )",284177,"(+/- 4531 )",295835,"(+/- 4492 )"
Housing,"Housing Tenure",Owner-occupied,169285,"(+/- 5318 )",166863,"(+/- 5050 )",201671,"(+/- 4730 )",121433,"(+/- 4923 )",181448,"(+/- 6339 )",220786,"(+/- 4716 )",133308,"(+/- 5211 )",178429,"(+/- 5288 )",189991,"(+/- 4489 )",186000,"(+/- 3803 )",188388,"(+/- 5247 )",195163,"(+/- 4328 )",185495,"(+/- 4062 )",227069,"(+/- 5585 )",206177,"(+/- 3950 )",198665,"(+/- 4609 )",194105,"(+/- 4103 )",226378,"(+/- 4557 )"
Housing,"Housing Tenure",Renter-occupied,104852,"(+/- 5215 )",92899,"(+/- 4578 )",59717,"(+/- 3660 )",112215,"(+/- 5174 )",140400,"(+/- 5705 )",57620,"(+/- 3960 )",198843,"(+/- 6637 )",80781,"(+/- 4131 )",114610,"(+/- 5020 )",72705,"(+/- 3449 )",68108,"(+/- 3865 )",76603,"(+/- 3818 )",97009,"(+/- 4291 )",41771,"(+/- 3704 )",66604,"(+/- 3735 )",76721,"(+/- 4383 )",90072,"(+/- 3780 )",69457,"(+/- 3973 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.63,"(+/- 0.07 )",2.66,"(+/- 0.07 )",2.85,"(+/- 0.07 )",2.93,"(+/- 0.09 )",2.59,"(+/- 0.05 )",2.79,"(+/- 0.05 )",2.47,"(+/- 0.07 )",2.75,"(+/- 0.06 )",2.56,"(+/- 0.05 )",2.79,"(+/- 0.05 )",2.86,"(+/- 0.06 )",2.46,"(+/- 0.04 )",2.45,"(+/- 0.04 )",2.82,"(+/- 0.05 )",2.47,"(+/- 0.03 )",2.51,"(+/- 0.04 )",2.31,"(+/- 0.03 )",2.40,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.10,"(+/- 0.09 )",2.44,"(+/- 0.09 )",2.33,"(+/- 0.12 )",2.49,"(+/- 0.09 )",1.91,"(+/- 0.06 )",2.21,"(+/- 0.10 )",1.98,"(+/- 0.05 )",2.55,"(+/- 0.11 )",1.97,"(+/- 0.07 )",2.46,"(+/- 0.10 )",2.54,"(+/- 0.12 )",2.15,"(+/- 0.07 )",2.02,"(+/- 0.07 )",2.21,"(+/- 0.12 )",2.13,"(+/- 0.08 )",2.23,"(+/- 0.08 )",2.13,"(+/- 0.07 )",2.04,"(+/- 0.09 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",274137,"(+/- 6287 )",259762,"(+/- 5370 )",261388,"(+/- 5627 )",233648,"(+/- 6096 )",321848,"(+/- 7178 )",278406,"(+/- 4897 )",332151,"(+/- 7549 )",259210,"(+/- 5210 )",304601,"(+/- 5861 )",258705,"(+/- 3187 )",256496,"(+/- 4736 )",271766,"(+/- 3874 )",282504,"(+/- 5002 )",268840,"(+/- 4838 )",272781,"(+/- 3933 )",275386,"(+/- 3681 )",284177,"(+/- 4531 )",295835,"(+/- 4492 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",63809,"(+/- 4428 )",55594,"(+/- 4149 )",45542,"(+/- 3712 )",62364,"(+/- 3865 )",116901,"(+/- 5787 )",67061,"(+/- 4406 )",122537,"(+/- 7411 )",64597,"(+/- 3705 )",83950,"(+/- 4995 )",66641,"(+/- 3942 )",62337,"(+/- 4602 )",63641,"(+/- 4224 )",85418,"(+/- 4827 )",56944,"(+/- 3884 )",57490,"(+/- 3056 )",62547,"(+/- 3555 )",64583,"(+/- 3264 )",71734,"(+/- 4340 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",59679,"(+/- 4671 )",54950,"(+/- 4184 )",53628,"(+/- 3939 )",57628,"(+/- 4169 )",72672,"(+/- 4401 )",55489,"(+/- 4418 )",82786,"(+/- 5742 )",55052,"(+/- 3820 )",67667,"(+/- 4982 )",53619,"(+/- 3811 )",56029,"(+/- 4030 )",56649,"(+/- 3549 )",54174,"(+/- 2938 )",60693,"(+/- 4520 )",52750,"(+/- 3358 )",57256,"(+/- 3563 )",58406,"(+/- 3519 )",59877,"(+/- 3579 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",33208,"(+/- 3189 )",29792,"(+/- 2712 )",33142,"(+/- 3330 )",26610,"(+/- 3130 )",38412,"(+/- 3500 )",34941,"(+/- 2828 )",36865,"(+/- 3878 )",33659,"(+/- 2835 )",38322,"(+/- 3161 )",34389,"(+/- 2956 )",31412,"(+/- 3158 )",33760,"(+/- 3086 )",31902,"(+/- 2812 )",33942,"(+/- 3635 )",35397,"(+/- 2538 )",32508,"(+/- 2839 )",36253,"(+/- 2479 )",37697,"(+/- 2484 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",45103,"(+/- 3796 )",52571,"(+/- 3712 )",57458,"(+/- 4378 )",40120,"(+/- 3664 )",40160,"(+/- 2644 )",55955,"(+/- 3278 )",43049,"(+/- 4185 )",46789,"(+/- 3203 )",50063,"(+/- 3021 )",48735,"(+/- 3805 )",54756,"(+/- 3425 )",49594,"(+/- 3686 )",50342,"(+/- 3179 )",67576,"(+/- 5057 )",51225,"(+/- 2814 )",56266,"(+/- 3321 )",53405,"(+/- 3101 )",58029,"(+/- 2938 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",32094,"(+/- 3050 )",28761,"(+/- 3299 )",36308,"(+/- 3130 )",27207,"(+/- 2726 )",26905,"(+/- 2206 )",37647,"(+/- 3417 )",21880,"(+/- 2174 )",31213,"(+/- 2541 )",33385,"(+/- 3213 )",30318,"(+/- 2724 )",31254,"(+/- 2429 )",30395,"(+/- 2400 )",29671,"(+/- 2580 )",29857,"(+/- 2550 )",34092,"(+/- 2312 )",32375,"(+/- 2199 )",31897,"(+/- 2401 )",32550,"(+/- 2059 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",40244,"(+/- 3548 )",38094,"(+/- 3127 )",35310,"(+/- 2799 )",19719,"(+/- 2178 )",26798,"(+/- 2590 )",27313,"(+/- 2133 )",25034,"(+/- 2120 )",27900,"(+/- 2581 )",31214,"(+/- 2308 )",25003,"(+/- 1809 )",20708,"(+/- 2359 )",37727,"(+/- 2463 )",30997,"(+/- 2009 )",19828,"(+/- 2225 )",41827,"(+/- 1947 )",34434,"(+/- 2006 )",39633,"(+/- 2308 )",35948,"(+/- 2290 )"
