Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
Housing,Value,"$1,000,000 or more",4187,"(+/- 919 )",5494,"(+/- 989 )",1578,"(+/- 533 )",3574,"(+/- 867 )",5413,"(+/- 1154 )",2381,"(+/- 807 )",4604,"(+/- 1103 )",30028,"(+/- 2260 )",1651,"(+/- 578 )",30174,"(+/- 2469 )",12676,"(+/- 1602 )"
Housing,Value,"Median (dollars)",374500,"(+/- 5829 )",311900,"(+/- 8484 )",240700,"(+/- 4636 )",267000,"(+/- 7531 )",230600,"(+/- 7891 )",236200,"(+/- 5296 )",334500,"(+/- 5368 )",644700,"(+/- 12844 )",141400,"(+/- 6737 )",618300,"(+/- 9539 )",547900,"(+/- 11605 )"
Housing,"Mortgage Status","Owner-occupied units",234282,"(+/- 4854 )",190851,"(+/- 4911 )",171002,"(+/- 4702 )",193847,"(+/- 4873 )",214425,"(+/- 4178 )",207069,"(+/- 5595 )",235489,"(+/- 5493 )",169221,"(+/- 4795 )",201253,"(+/- 4383 )",236954,"(+/- 4717 )",197777,"(+/- 5217 )"
Housing,"Mortgage Status","Housing units with a mortgage",169418,"(+/- 5300 )",135907,"(+/- 4729 )",122298,"(+/- 4941 )",140192,"(+/- 4805 )",123763,"(+/- 4318 )",126557,"(+/- 5071 )",170264,"(+/- 5701 )",127054,"(+/- 4906 )",88960,"(+/- 3920 )",181646,"(+/- 4724 )",145752,"(+/- 4942 )"
Housing,"Mortgage Status","Housing units without a mortgage",64864,"(+/- 3577 )",54944,"(+/- 2899 )",48704,"(+/- 3419 )",53655,"(+/- 3124 )",90662,"(+/- 3957 )",80512,"(+/- 4069 )",65225,"(+/- 4053 )",42167,"(+/- 2872 )",112293,"(+/- 3759 )",55308,"(+/- 3418 )",52025,"(+/- 3467 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",169418,"(+/- 5300 )",135907,"(+/- 4729 )",122298,"(+/- 4941 )",140192,"(+/- 4805 )",123763,"(+/- 4318 )",126557,"(+/- 5071 )",170264,"(+/- 5701 )",127054,"(+/- 4906 )",88960,"(+/- 3920 )",181646,"(+/- 4724 )",145752,"(+/- 4942 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",1235,"(+/- 474 )",1377,"(+/- 646 )",1535,"(+/- 613 )",2353,"(+/- 738 )",2378,"(+/- 701 )",3055,"(+/- 985 )",1687,"(+/- 538 )",635,"(+/- 302 )",3334,"(+/- 844 )",1341,"(+/- 742 )",772,"(+/- 460 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",13475,"(+/- 1786 )",9083,"(+/- 1431 )",13993,"(+/- 1911 )",21760,"(+/- 2318 )",31073,"(+/- 2618 )",27359,"(+/- 2405 )",16387,"(+/- 2093 )",1470,"(+/- 565 )",35894,"(+/- 2525 )",6242,"(+/- 1187 )",3730,"(+/- 1087 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",30587,"(+/- 2948 )",36108,"(+/- 3357 )",37681,"(+/- 3331 )",40140,"(+/- 3701 )",38134,"(+/- 3070 )",45977,"(+/- 3758 )",45062,"(+/- 3373 )",5762,"(+/- 1403 )",28032,"(+/- 2531 )",15415,"(+/- 1702 )",10639,"(+/- 1573 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",47569,"(+/- 3094 )",39642,"(+/- 3118 )",37941,"(+/- 3250 )",37149,"(+/- 3440 )",23660,"(+/- 2671 )",29161,"(+/- 2484 )",51077,"(+/- 3785 )",17234,"(+/- 2048 )",12631,"(+/- 1794 )",24472,"(+/- 2504 )",24252,"(+/- 2586 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",32473,"(+/- 2761 )",23360,"(+/- 2802 )",18182,"(+/- 1813 )",20024,"(+/- 2075 )",10953,"(+/- 1856 )",12479,"(+/- 1751 )",24021,"(+/- 2639 )",23964,"(+/- 2409 )",5255,"(+/- 1190 )",32013,"(+/- 3133 )",35628,"(+/- 3319 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",21111,"(+/- 2596 )",12060,"(+/- 1840 )",7588,"(+/- 1222 )",9468,"(+/- 1520 )",8834,"(+/- 1246 )",4660,"(+/- 1098 )",16179,"(+/- 2227 )",24411,"(+/- 2096 )",2224,"(+/- 730 )",32498,"(+/- 2654 )",24897,"(+/- 2091 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",22968,"(+/- 2064 )",14277,"(+/- 2026 )",5378,"(+/- 1135 )",9298,"(+/- 1528 )",8731,"(+/- 1388 )",3866,"(+/- 1028 )",15851,"(+/- 2038 )",53578,"(+/- 2796 )",1590,"(+/- 561 )",69665,"(+/- 3871 )",45834,"(+/- 2647 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1912,"(+/- 32 )",1759,"(+/- 38 )",1591,"(+/- 30 )",1565,"(+/- 32 )",1354,"(+/- 47 )",1349,"(+/- 27 )",1688,"(+/- 30 )",2796,"(+/- 41 )",1071,"(+/- 26 )",2674,"(+/- 52 )",2470,"(+/- 36 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",64864,"(+/- 3577 )",54944,"(+/- 2899 )",48704,"(+/- 3419 )",53655,"(+/- 3124 )",90662,"(+/- 3957 )",80512,"(+/- 4069 )",65225,"(+/- 4053 )",42167,"(+/- 2872 )",112293,"(+/- 3759 )",55308,"(+/- 3418 )",52025,"(+/- 3467 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",5142,"(+/- 933 )",4481,"(+/- 1081 )",3331,"(+/- 803 )",4311,"(+/- 1006 )",16085,"(+/- 2067 )",10948,"(+/- 1535 )",4418,"(+/- 1091 )",309,"(+/- 204 )",29636,"(+/- 2520 )",2523,"(+/- 1004 )",1307,"(+/- 611 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",14411,"(+/- 2209 )",7957,"(+/- 1453 )",7615,"(+/- 1726 )",13750,"(+/- 2179 )",30264,"(+/- 2581 )",28283,"(+/- 2772 )",15561,"(+/- 2169 )",1309,"(+/- 609 )",48682,"(+/- 3114 )",4042,"(+/- 1018 )",3054,"(+/- 782 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",21331,"(+/- 2333 )",14836,"(+/- 1594 )",17536,"(+/- 1641 )",17168,"(+/- 1840 )",26581,"(+/- 2127 )",29789,"(+/- 2460 )",23791,"(+/- 2536 )",3948,"(+/- 1020 )",22819,"(+/- 2122 )",9183,"(+/- 1618 )",6792,"(+/- 1283 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",14225,"(+/- 1737 )",14749,"(+/- 1743 )",12375,"(+/- 1806 )",9814,"(+/- 1578 )",9602,"(+/- 1412 )",7845,"(+/- 1259 )",13000,"(+/- 1915 )",8209,"(+/- 1413 )",6843,"(+/- 1121 )",11120,"(+/- 1537 )",12995,"(+/- 1706 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",5227,"(+/- 1034 )",6253,"(+/- 1295 )",4500,"(+/- 1048 )",4931,"(+/- 925 )",4516,"(+/- 1031 )",2013,"(+/- 663 )",5079,"(+/- 985 )",9939,"(+/- 1491 )",2092,"(+/- 684 )",10629,"(+/- 1545 )",12870,"(+/- 1578 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",4528,"(+/- 909 )",6668,"(+/- 1182 )",3347,"(+/- 1022 )",3681,"(+/- 915 )",3614,"(+/- 888 )",1634,"(+/- 606 )",3376,"(+/- 779 )",18453,"(+/- 1590 )",2221,"(+/- 726 )",17811,"(+/- 1936 )",15007,"(+/- 1449 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",514,"(+/- 22 )",603,"(+/- 23 )",553,"(+/- 19 )",493,"(+/- 20 )",395,"(+/- 12 )",406,"(+/- 12 )",490,"(+/- 15 )",940,"(+/- 28 )",329,"(+/- 8 )",814,"(+/- 30 )",825,"(+/- 19 )"
Housing,"Gross Rent","Occupied units paying rent",58622,"(+/- 3796 )",100969,"(+/- 4524 )",142165,"(+/- 4957 )",111526,"(+/- 4511 )",74882,"(+/- 3988 )",90461,"(+/- 4898 )",75365,"(+/- 4809 )",151889,"(+/- 4465 )",71408,"(+/- 3747 )",60911,"(+/- 4066 )",89956,"(+/- 4062 )"
Housing,"Gross Rent","Less than $500",2993,"(+/- 1017 )",2570,"(+/- 812 )",9359,"(+/- 1637 )",9117,"(+/- 1480 )",7727,"(+/- 1439 )",7782,"(+/- 1581 )",1351,"(+/- 539 )",4648,"(+/- 1254 )",14063,"(+/- 1825 )",761,"(+/- 327 )",2162,"(+/- 738 )"
Housing,"Gross Rent","$500 to $999",11112,"(+/- 1637 )",14001,"(+/- 1773 )",40991,"(+/- 3558 )",31569,"(+/- 2897 )",33188,"(+/- 3143 )",48468,"(+/- 3977 )",12759,"(+/- 2634 )",3371,"(+/- 1132 )",38740,"(+/- 3131 )",5106,"(+/- 1242 )",2402,"(+/- 662 )"
Housing,"Gross Rent","$1,000 to $1,499",16055,"(+/- 2306 )",45591,"(+/- 3592 )",60791,"(+/- 4489 )",47026,"(+/- 3657 )",19983,"(+/- 2166 )",25046,"(+/- 2854 )",36645,"(+/- 3739 )",22880,"(+/- 2379 )",13961,"(+/- 2044 )",11745,"(+/- 2149 )",10628,"(+/- 1920 )"
Housing,"Gross Rent","$1,500 to $1,999",17807,"(+/- 2227 )",28088,"(+/- 2397 )",24670,"(+/- 3094 )",17887,"(+/- 2596 )",8945,"(+/- 1471 )",6088,"(+/- 1479 )",17560,"(+/- 2398 )",54770,"(+/- 3654 )",2222,"(+/- 798 )",18707,"(+/- 2242 )",36714,"(+/- 3849 )"
Housing,"Gross Rent","$2,000 to $2,499",7205,"(+/- 1709 )",7365,"(+/- 1739 )",4176,"(+/- 1133 )",2697,"(+/- 959 )",3436,"(+/- 1056 )",1713,"(+/- 653 )",4199,"(+/- 1148 )",35252,"(+/- 3035 )",2106,"(+/- 838 )",11212,"(+/- 1667 )",22754,"(+/- 2423 )"
Housing,"Gross Rent","$2,500 to $2,999",1744,"(+/- 712 )",1657,"(+/- 713 )",1010,"(+/- 602 )",1296,"(+/- 766 )",574,"(+/- 367 )",460,"(+/- 278 )",1052,"(+/- 671 )",14643,"(+/- 2229 )",273,"(+/- 366 )",6777,"(+/- 1380 )",9978,"(+/- 1767 )"
Housing,"Gross Rent","$3,000 or more",1706,"(+/- 574 )",1697,"(+/- 634 )",1168,"(+/- 605 )",1934,"(+/- 1024 )",1029,"(+/- 422 )",904,"(+/- 495 )",1799,"(+/- 666 )",16325,"(+/- 1946 )",43,"(+/- 74 )",6603,"(+/- 1379 )",5318,"(+/- 1122 )"
Housing,"Gross Rent","Median (dollars)",1478,"(+/- 52 )",1369,"(+/- 27 )",1145,"(+/- 23 )",1124,"(+/- 20 )",933,"(+/- 40 )",887,"(+/- 21 )",1336,"(+/- 27 )",1911,"(+/- 27 )",733,"(+/- 24 )",1843,"(+/- 51 )",1906,"(+/- 34 )"
Housing,"Gross Rent","No rent paid",5084,"(+/- 1179 )",3493,"(+/- 837 )",3566,"(+/- 832 )",4103,"(+/- 1128 )",7337,"(+/- 1422 )",5265,"(+/- 1252 )",3227,"(+/- 975 )",3577,"(+/- 1235 )",11399,"(+/- 1673 )",2325,"(+/- 805 )",1761,"(+/- 634 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Total households",297988,"(+/- 4101 )",295313,"(+/- 3457 )",316733,"(+/- 3808 )",309476,"(+/- 5445 )",296644,"(+/- 4256 )",302795,"(+/- 4555 )",314081,"(+/- 5203 )",324687,"(+/- 4529 )",284060,"(+/- 4423 )",300190,"(+/- 3767 )",289494,"(+/- 5275 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Less than $10,000",11861,"(+/- 2462 )",12243,"(+/- 1972 )",21022,"(+/- 2547 )",23453,"(+/- 2588 )",16388,"(+/- 2066 )",18039,"(+/- 2439 )",9477,"(+/- 1771 )",13261,"(+/- 2152 )",26006,"(+/- 2437 )",6631,"(+/- 1320 )",8776,"(+/- 1975 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$10,000 to $14,999",5802,"(+/- 1199 )",8353,"(+/- 1902 )",10499,"(+/- 1898 )",11494,"(+/- 1963 )",14900,"(+/- 2031 )",13188,"(+/- 2219 )",7616,"(+/- 1454 )",5213,"(+/- 1276 )",20302,"(+/- 2195 )",3264,"(+/- 843 )",4225,"(+/- 943 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$15,000 to $24,999",12035,"(+/- 1917 )",16257,"(+/- 2138 )",27143,"(+/- 3142 )",25745,"(+/- 3121 )",26187,"(+/- 2271 )",27405,"(+/- 2651 )",16098,"(+/- 2509 )",10290,"(+/- 1450 )",32822,"(+/- 3352 )",8071,"(+/- 1422 )",10235,"(+/- 2024 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$25,000 to $34,999",16834,"(+/- 2065 )",20667,"(+/- 2647 )",31789,"(+/- 3246 )",26434,"(+/- 2911 )",25789,"(+/- 2359 )",28064,"(+/- 2686 )",18047,"(+/- 2346 )",11649,"(+/- 1987 )",29824,"(+/- 2705 )",9314,"(+/- 1773 )",9482,"(+/- 2154 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$35,000 to $49,999",23525,"(+/- 2635 )",30579,"(+/- 2955 )",39736,"(+/- 3760 )",34301,"(+/- 3539 )",38594,"(+/- 3335 )",38782,"(+/- 3089 )",30211,"(+/- 2872 )",19934,"(+/- 2252 )",40097,"(+/- 2948 )",17262,"(+/- 2259 )",17204,"(+/- 2306 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$50,000 to $74,999",46301,"(+/- 4076 )",52896,"(+/- 3983 )",59397,"(+/- 4249 )",50611,"(+/- 3609 )",51070,"(+/- 3249 )",53788,"(+/- 3722 )",51619,"(+/- 3844 )",39287,"(+/- 3624 )",50859,"(+/- 3217 )",27700,"(+/- 2705 )",32253,"(+/- 2701 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$75,000 to $99,999",37318,"(+/- 3380 )",42370,"(+/- 3494 )",37194,"(+/- 3350 )",41455,"(+/- 2876 )",37709,"(+/- 2593 )",41223,"(+/- 3023 )",40678,"(+/- 3440 )",34419,"(+/- 2891 )",33165,"(+/- 2940 )",28948,"(+/- 2559 )",35241,"(+/- 2995 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$100,000 to $149,999",65092,"(+/- 3784 )",57821,"(+/- 3576 )",52158,"(+/- 3645 )",51109,"(+/- 3350 )",40802,"(+/- 3511 )",46697,"(+/- 3437 )",61011,"(+/- 4122 )",62766,"(+/- 4447 )",33108,"(+/- 2803 )",58548,"(+/- 3399 )",62475,"(+/- 3899 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$150,000 to $199,000",34015,"(+/- 2869 )",27277,"(+/- 2517 )",19416,"(+/- 2577 )",23693,"(+/- 2627 )",20987,"(+/- 1714 )",19624,"(+/- 2241 )",37117,"(+/- 3202 )",45968,"(+/- 3451 )",9820,"(+/- 1474 )",46614,"(+/- 3158 )",41672,"(+/- 2641 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","$200,000 or more",45205,"(+/- 2793 )",26850,"(+/- 2728 )",18379,"(+/- 2477 )",21181,"(+/- 2163 )",24218,"(+/- 2318 )",15985,"(+/- 1912 )",42207,"(+/- 3387 )",81900,"(+/- 3678 )",8057,"(+/- 1141 )",93838,"(+/- 3676 )",67931,"(+/- 3454 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Median household income (dollars)",96882,"(+/- 3743 )",79125,"(+/- 2145 )",60943,"(+/- 1461 )",64678,"(+/- 2215 )",62714,"(+/- 2286 )",60630,"(+/- 2040 )",89823,"(+/- 4462 )",119442,"(+/- 4019 )",47005,"(+/- 1303 )",140889,"(+/- 3063 )",118107,"(+/- 3896 )"
Socioeconomic,"Income and Benefits (In 2021 inflation-adjusted dollars)","Mean household income (dollars)",119052,"(+/- 3101 )",102029,"(+/- 2977 )",81305,"(+/- 2495 )",86330,"(+/- 2135 )",89408,"(+/- 2473 )",81114,"(+/- 2403 )",116367,"(+/- 3517 )",157713,"(+/- 3450 )",63553,"(+/- 1738 )",176398,"(+/- 3883 )",147943,"(+/- 3739 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population",814654,"(+/- 12656 )",692033,"(+/- 8069 )",722311,"(+/- 9465 )",753722,"(+/- 12408 )",728684,"(+/- 7030 )",753349,"(+/- 5294 )",819630,"(+/- 11542 )",771235,"(+/- 13211 )",675443,"(+/- 5358 )",887605,"(+/- 12498 )",794092,"(+/- 18039 )"
Socioeconomic,"Health Insurance Coverage","With health insurance coverage",768075,"(+/- 11188 )",648791,"(+/- 7679 )",672831,"(+/- 10677 )",703123,"(+/- 11558 )",682505,"(+/- 8014 )",697096,"(+/- 7512 )",766682,"(+/- 12183 )",709568,"(+/- 13417 )",634013,"(+/- 6086 )",825302,"(+/- 12049 )",730594,"(+/- 16329 )"
Socioeconomic,"Health Insurance Coverage","With private health insurance",640890,"(+/- 10912 )",534974,"(+/- 10897 )",487176,"(+/- 12533 )",516436,"(+/- 12423 )",500795,"(+/- 10300 )",518292,"(+/- 13954 )",627601,"(+/- 14599 )",614203,"(+/- 14155 )",412038,"(+/- 8421 )",731060,"(+/- 12894 )",635514,"(+/- 16983 )"
Socioeconomic,"Health Insurance Coverage","With public coverage",243999,"(+/- 8261 )",227434,"(+/- 8065 )",293630,"(+/- 10387 )",301659,"(+/- 10501 )",287396,"(+/- 9435 )",277697,"(+/- 9877 )",254201,"(+/- 9872 )",180071,"(+/- 8246 )",309109,"(+/- 7551 )",185768,"(+/- 7068 )",189645,"(+/- 9412 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",46579,"(+/- 5797 )",43242,"(+/- 4895 )",49480,"(+/- 5394 )",50599,"(+/- 5673 )",46179,"(+/- 4946 )",56253,"(+/- 5384 )",52948,"(+/- 6183 )",61667,"(+/- 6723 )",41430,"(+/- 3838 )",62303,"(+/- 6991 )",63498,"(+/- 6681 )"
Socioeconomic,"Health Insurance Coverage","Civilian noninstitutionalized population under 19 years",203425,"(+/- 6416 )",169149,"(+/- 4803 )",181770,"(+/- 5071 )",168773,"(+/- 5697 )",154922,"(+/- 4085 )",169722,"(+/- 3796 )",199282,"(+/- 5624 )",171034,"(+/- 6024 )",136014,"(+/- 3550 )",244458,"(+/- 6318 )",201557,"(+/- 7652 )"
Socioeconomic,"Health Insurance Coverage","No health insurance coverage",6707,"(+/- 2071 )",8195,"(+/- 2361 )",5214,"(+/- 1426 )",7564,"(+/- 1815 )",6494,"(+/- 2047 )",8451,"(+/- 1994 )",8743,"(+/- 2623 )",8834,"(+/- 2068 )",3239,"(+/- 1111 )",12863,"(+/- 3175 )",11874,"(+/- 2297 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All families",5.3,"(+/- 0.8 )",6.5,"(+/- 1.2 )",11.1,"(+/- 1.5 )",9.0,"(+/- 1.5 )",6.7,"(+/- 1.1 )",8.0,"(+/- 1.1 )",4.7,"(+/- 0.9 )",6.0,"(+/- 1.1 )",11.9,"(+/- 1.3 )",3.2,"(+/- 0.6 )",5.2,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",9.2,"(+/- 1.5 )",10.1,"(+/- 2.3 )",17.1,"(+/- 2.5 )",14.9,"(+/- 2.9 )",11.1,"(+/- 2.0 )",14.0,"(+/- 2.1 )",6.6,"(+/- 1.6 )",8.4,"(+/- 2.0 )",20.8,"(+/- 2.6 )",4.8,"(+/- 1.0 )",7.5,"(+/- 1.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",8.5,"(+/- 4.8 )",8.3,"(+/- 4.2 )",15.0,"(+/- 5.9 )",16.0,"(+/- 6.2 )",11.4,"(+/- 4.7 )",10.6,"(+/- 5.0 )",4.5,"(+/- 3.3 )",2.9,"(+/- 2.0 )",26.7,"(+/- 7.2 )",5.8,"(+/- 3.2 )",2.1,"(+/- 2.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.8,"(+/- 0.6 )",3.2,"(+/- 0.9 )",3.4,"(+/- 0.9 )",4.0,"(+/- 1.1 )",3.0,"(+/- 0.8 )",2.6,"(+/- 0.6 )",2.9,"(+/- 0.7 )",3.7,"(+/- 1.0 )",6.4,"(+/- 1.2 )",1.7,"(+/- 0.5 )",3.3,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",4.6,"(+/- 1.2 )",3.8,"(+/- 1.8 )",5.1,"(+/- 1.7 )",5.9,"(+/- 2.4 )",4.6,"(+/- 1.7 )",4.0,"(+/- 1.1 )",3.7,"(+/- 1.4 )",4.9,"(+/- 1.8 )",9.5,"(+/- 2.3 )",2.1,"(+/- 0.8 )",4.7,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",1.6,"(+/- 2.1 )",0.9,"(+/- 1.5 )",7.3,"(+/- 4.6 )",6.9,"(+/- 5.2 )",4.5,"(+/- 4.2 )",4.1,"(+/- 2.9 )",2.1,"(+/- 2.1 )",0.8,"(+/- 1.0 )",6.7,"(+/- 4.7 )",2.6,"(+/- 2.6 )",0.2,"(+/- 0.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",15.3,"(+/- 3.9 )",20.6,"(+/- 4.4 )",25.2,"(+/- 4.5 )",22.3,"(+/- 3.8 )",21.8,"(+/- 4.4 )",27.1,"(+/- 4.2 )",11.2,"(+/- 3.3 )",18.9,"(+/- 5.1 )",32.8,"(+/- 4.3 )",13.7,"(+/- 4.1 )",10.2,"(+/- 3.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",23.2,"(+/- 5.9 )",27.8,"(+/- 6.4 )",31.2,"(+/- 5.6 )",32.3,"(+/- 6.3 )",29.3,"(+/- 6.3 )",37.5,"(+/- 6.3 )",15.6,"(+/- 4.9 )",25.4,"(+/- 7.1 )",47.7,"(+/- 5.8 )",20.9,"(+/- 6.4 )",14.3,"(+/- 5.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",39.6,"(+/- 20.8 )",39.1,"(+/- 17.6 )",26.9,"(+/- 13.5 )",36.7,"(+/- 15.2 )",34.6,"(+/- 17.9 )",39.2,"(+/- 21.0 )",5.8,"(+/- 10.2 )",19.1,"(+/- 15.4 )",72.0,"(+/- 13.1 )",19.4,"(+/- 14.4 )",23.9,"(+/- 28.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",7.9,"(+/- 0.9 )",9.1,"(+/- 1.1 )",14.1,"(+/- 1.2 )",13.6,"(+/- 1.3 )",11.2,"(+/- 1.0 )",12.5,"(+/- 1.2 )",6.9,"(+/- 0.9 )",8.6,"(+/- 1.1 )",18.7,"(+/- 1.2 )",5.0,"(+/- 0.7 )",7.2,"(+/- 1.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",11.4,"(+/- 1.9 )",12.1,"(+/- 2.5 )",20.0,"(+/- 2.8 )",18.6,"(+/- 3.4 )",13.8,"(+/- 2.5 )",15.1,"(+/- 2.5 )",8.2,"(+/- 1.9 )",12.7,"(+/- 3.1 )",24.8,"(+/- 3.2 )",6.3,"(+/- 1.5 )",8.3,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",11.2,"(+/- 1.9 )",11.9,"(+/- 2.5 )",19.8,"(+/- 2.8 )",18.5,"(+/- 3.4 )",13.4,"(+/- 2.5 )",14.7,"(+/- 2.5 )",7.9,"(+/- 1.9 )",12.4,"(+/- 3.1 )",24.5,"(+/- 3.1 )",6.0,"(+/- 1.5 )",8.1,"(+/- 2.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.4,"(+/- 3.2 )",12.3,"(+/- 3.7 )",21.2,"(+/- 4.6 )",19.3,"(+/- 5.1 )",14.3,"(+/- 4.7 )",13.6,"(+/- 3.3 )",11.6,"(+/- 4.1 )",11.9,"(+/- 3.6 )",33.6,"(+/- 5.2 )",7.0,"(+/- 2.7 )",7.0,"(+/- 2.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",10.9,"(+/- 2.0 )",11.8,"(+/- 2.7 )",19.3,"(+/- 2.7 )",18.2,"(+/- 3.4 )",13.2,"(+/- 2.6 )",15.1,"(+/- 2.7 )",6.8,"(+/- 1.7 )",12.7,"(+/- 3.3 )",21.6,"(+/- 3.4 )",5.7,"(+/- 1.7 )",8.5,"(+/- 2.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",6.8,"(+/- 0.7 )",8.2,"(+/- 0.9 )",12.4,"(+/- 1.0 )",12.2,"(+/- 1.0 )",10.6,"(+/- 0.9 )",11.8,"(+/- 1.1 )",6.5,"(+/- 0.8 )",7.5,"(+/- 0.8 )",17.3,"(+/- 1.1 )",4.6,"(+/- 0.5 )",6.9,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",5.3,"(+/- 1.1 )",6.7,"(+/- 1.3 )",12.5,"(+/- 2.0 )",10.6,"(+/- 1.7 )",8.6,"(+/- 1.2 )",8.2,"(+/- 1.3 )",5.3,"(+/- 1.1 )",8.3,"(+/- 1.5 )",12.5,"(+/- 1.5 )",3.8,"(+/- 1.1 )",5.8,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",6.1,"(+/- 0.9 )",7.2,"(+/- 1.3 )",11.8,"(+/- 1.4 )",10.3,"(+/- 1.7 )",7.3,"(+/- 1.1 )",8.2,"(+/- 1.1 )",5.1,"(+/- 1.0 )",7.4,"(+/- 1.5 )",13.2,"(+/- 1.4 )",3.6,"(+/- 0.7 )",5.5,"(+/- 1.1 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",18.5,"(+/- 2.2 )",16.9,"(+/- 1.6 )",22.2,"(+/- 1.9 )",23.9,"(+/- 2.1 )",25.2,"(+/- 2.2 )",27.6,"(+/- 2.5 )",16.8,"(+/- 2.3 )",12.0,"(+/- 1.3 )",36.6,"(+/- 2.2 )",15.6,"(+/- 2.0 )",15.4,"(+/- 2.0 )"
