,Handle,Type,Gender,FirstName,LastName,Age,Party,Experience,State,District,City
535,JohnCarneyDE,Governor,M,John,Carney,66,D,"U.S. House, Lieutenant Governor, State Secretary of Finance, Chief of Staff to Governor Tom Carper, New Castle County Deputy Chief Administrative Officer, U.S. Senator Joe Biden staffer",DE,,
536,GovRonDeSantis,Governor,M,Ron,DeSantis,44,R,"U.S. House, Lieutenant Commander in the United States Navy",FL,,
537,GovKemp,Governor,M,Brian,Kemp,59,R,"Secretary of State, Georgia Senate",GA,,
538,louleonguerrero,Governor,M,Lou,Leon,72,D,Guam Legislature,GU,,
539,GovernorLittle,Governor,M,Brad,Little,68,R,"Lieutenant Governor, Idaho Senate",ID,,
540,GovPritzker,Governor,M,Jay,Pritzker,57,D,"Co-Chair of Hillary Clinton 2008 presidential campaign, Chair of the Illinois Human Rights Commission",IL,,
541,GovHolcomb,Governor,M,Eric,Holcomb,54,R,"Lieutenant Governor, Chief of Staff to U.S. Senator Dan Coats, State Republican Party Chair, Deputy Chief of Staff to Governor Mitch Daniels, Mitch Daniels 2008 gubernatorial campaign manager, U.S. Congressman John Hostettler Office Manager, Yeoman in the United States Navy",IN,,
542,IAGovernor,Governor,F,Kim,Reynolds,63,R,"Lieutenant Governor, Iowa Senate, Clarke County Treasurer",IA,,
543,GovLauraKelly,Governor,F,Laura,Kelly,72,D,Kansas Senate,KS,,
544,GovAndyBeshear,Governor,M,Andy,Beshear,44,D,State Attorney General,KY,,
545,LouisianaGov,Governor,M,John,Bel,56,D,"Minority Leader of the Louisiana House, Captain in the United States Army",LA,,
546,GovJanetMills,Governor,F,Janet,Mills,74,D,"State Attorney General, Maine House, Androscoggin, Franklin, and Oxford Counties District Attorney",ME,,
547,GovLarryHogan,Governor,M,Larry,Hogan,66,R,State Secretary of Appointments,MD,,
548,MassGovernor,Governor,M,Charlie,Baker,66,R,"Swampscott Board of Selectmen, State Secretary of Administration and Finance, State Secretary of Health and Human Services",MA,,
549,GovWhitmer,Governor,F,Gretchen,Whitmer,51,D,"Ingham County Prosecuting Attorney, Minority Leader of the Michigan Senate, Michigan House",MI,,
550,GovTimWalz,Governor,M,Tim,Walz,58,D,"U.S. House, Command Sergeant Major in the Army National Guard",MN,,
551,tatereeves,Governor,M,Tate,Reeves,48,R,"Lieutenant Governor, State Treasurer",MS,,
552,GovParsonMO,Governor,M,Mike,Parson,67,R,"Lieutenant Governor, Missouri Senate, Missouri House, Polk County Sheriff, Sergeant in the United States Army",MO,,
553,GovGianforte,Governor,M,Greg,Gianforte,61,R,U.S. House,MT,,
554,GovRicketts,Governor,M,Pete,Ricketts,58,R,Republican National Commmitteeman,NE,,
555,GovSisolak,Governor,M,Steve,Sisolak,68,D,"Clark County Commission, Nevada Board of Regents",NV,,
556,GovChrisSununu,Governor,M,Chris,Sununu,48,R,New Hampshire Executive Council,NH,,
557,GovMurphy,Governor,M,Phil,Murphy,65,D,"U.S. Ambassador to Germany, Finance Chair of the Democratic National Committee, New Jersey Benefits Task Force chair",NJ,,
558,GovMLG,Governor,F,Michelle,Lujan,63,D,"U.S. House, Bernalillo County Commission, State Secretary of Health, Director of the State Long-Term Services Department",NM,,
559,GovKathyHochul,Governor,F,Kathy,Hochul,64,D,"Lieutenant Governor, U.S. House, Erie County Clerk, Hamburg Town Board",NY,,
560,NC_Governor,Governor,M,Roy,Cooper,65,D,"State Attorney General, Majority Leader of the North Carolina Senate, North Carolina House",NC,,
561,DougBurgum,Governor,M,Doug,Burgum,66,R,No prior public experience,ND,,
562,GovernorCNMI,Governor,M,Ralph,Torres,43,R,"Lieutenant Governor, President of the CNMI Senate, CNMI House",MP,,
563,GovMikeDeWine,Governor,M,Mike,DeWine,75,R,"State Attorney General, U.S. Senate, Lieutenant Governor, U.S. House, Ohio Senate, Greene County Prosecutor",OH,,
564,GovStitt,Governor,M,Kevin,Stitt,49,R,No prior public experience,OK,,
565,OregonGovBrown,Governor,F,Kate,Brown,62,D,"Secretary of State, Majority Leader of the Oregon Senate, Oregon House",OR,,
566,GovernorTomWolf,Governor,M,Tom,Wolf,73,D,State Secretary of Revenue,PA,,
567,GovPierluisi,Governor,M,Pedro,Pierluisi,63,D,"U.S. House, Territorial Secretary of Justice",PR,,
568,GovDanMcKee,Governor,M,Dan,McKee,71,D,"Lieutenant Governor, Mayor of Cumberland, Cumberland Town Council",RI,,
569,henrymcmaster,Governor,M,Henry,McMaster,75,R,"Lieutenant Governor, Board of South Carolina Ports Authority, State Attorney General, State Republican Party Chair, U.S. Attorney",SC,,
570,govkristinoem,Governor,F,Kristi,Noem,50,R,"U.S. House, South Dakota House",SD,,
571,GovBillLee,Governor,M,Bill,Lee,63,R,No prior public experience,TN,,
572,GovAbbott,Governor,M,Greg,Abbott,65,R,"State Attorney General, Associate Justice of the Texas Supreme Court",TX,,
573,GovCox,Governor,M,Spencer,Cox,47,R,"Lieutenant Governor, Utah House, Sanpete County Commission, Mayor of Fairview",UT,,
574,GovPhilScott,Governor,M,Phil,Scott,64,R,"Lieutenant Governor, Vermont Senate",VT,,
575,GovernorVA,Governor,M,Glenn,Youngkin,55,R,No prior public experience,VA,,
576,GovInslee,Governor,M,Jay,Inslee,71,D,"U.S. House, Washington House",WA,,
577,WVGovernor,Governor,M,Jim,Justice,71,R,No prior public experience,WV,,
578,GovEvers,Governor,M,Tony,Evers,71,D,State Superintendent of Public Instruction,WI,,
579,GovernorGordon,Governor,M,Mark,Gordon,65,R,State Treasurer,WY,,
580,NYCMayor,Mayor,M,Eric,Adams,62,D,,NY,"[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] ",New York City
581,MayorOfLA,Mayor,F,Karen,Bass,69,D,,CA,"[27, 29, 32]",Los Angeles
582,LoriLightfoot,Mayor,F,Lori,Lightfoot,60,D,,IL,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",Chicago
583,SylvesterTurner,Mayor,M,Sylvester,Turner,68,D,,TX,"[7, 8, 18, 38]",Houston
584,MayorGallego,Mayor,F,Kate,Gallego,41,D,,AZ,"[1, 3, 8]",Phoenix
585,PhillyMayor,Mayor,M,Jim,Kenney,64,D,,PA,"[2, 3]",Philadelphia
586,Ron_Nirenberg,Mayor,M,Ron,Nirenberg,45,I,,TX,"[20, 21, 23, 28, 35]",San Antonio
587,ToddGloria,Mayor,M,Todd,Gloria,44,D,,CA,"[49, 50, 51, 48, 52]",San Diego
588,Johnson4Dallas,Mayor,M,Eric,Johnson,47,D,,TX,"[5, 6, 30, 32]",Dallas
589,MayorRickHNL,Mayor,M,Rick,Blangiardi,76,I,,HI,[1],Honolulu
590,MattMahanSJ,Mayor,M,Matt,Mahan,40,D,,CA,"[16, 17, 18, 19]",San Jose
591,lennycurry,Mayor,M,Lenny,Curry,52,R,,FL,"[4, 5]",Jacksonville
592,KirkPWatson,Mayor,M,Kirk,Watson,64,D,,TX,"[11, 21, 31, 37]",Austin
593,MayorMattie,Mayor,M,Mattie,Parker,40,R,,TX,"[12, 25, 33]",Fort Worth
594,MayorGinther,Mayor,M,Andrew,Ginther,47,D,,OH,"[3, 15]",Columbus
595,IndyMayorJoe,Mayor,M,Joe,Hogsett,66,D,,IN,[7],Indianapolis
596,CLTMayor,Mayor,F,Vi,Lyles,70,D,,NC,"[12, 14]",Charlotte
597,LondonBreed,Mayor,F,London,Breed,48,D,,CA,"[11, 15]",San Francisco
598,MayorofSeattle,Mayor,M,Bruce,Harrell,64,D,,WA,"[1, 7, 9]",Seattle
599,JohnCooper4Nash,Mayor,M,John,Cooper,66,D,,TN,"[5, 7]",Nashville
600,MayorHancock,Mayor,M,Michael,Hancock,53,D,,CO,[1],Denver
601,MayorBowser,Mayor,F,Muriel,Bowser,50,D,,DC,[0],Washington
602,davidfholt,Mayor,M,David,Holt,43,R,,OK,"[4, 5]",Oklahoma City
603,,Mayor,M,Oscar,Leeser,64,D,,TX,[23],El Paso
604,MayorWu,Mayor,F,Michelle,Wu,38,D,,MA,[7],Boston
605,tedwheeler,Mayor,M,Ted,Wheeler,60,D,,OR,"[3, 4, 5]",Portland
606,mayoroflasvegas,Mayor,F,Carolyn,Goodman,83,I,,NV,"[1, 3]",Las Vegas
607,MayorMikeDuggan,Mayor,M,Mike,Duggan,64,D,,MI,"[1, 2, 3, 6, 7]",Detroit
608,MayorMemphis,Mayor,M,Jim,Strickland,59,D,,TN,[9],Memphis
609,LouisvilleMayor,Mayor,M,Craig,Greenberg,49,D,,KY,[3],Louisville
610,MayorBMScott,Mayor,M,Brandon,Scott,38,D,,MD,[7],Baltimore
611,MayorOfMKE,Mayor,M,Cavalier,Johnson,36,D,,WI,[4],Milwaukee
612,MayorKeller,Mayor,M,Tim,Keller,45,D,,NM,"[1, 2]",Albuquerque
613,TucsonRomero,Mayor,F,Regina,Romero,48,D,,AZ,"[2, 3]",Tucson
614,MayorJerryDyer,Mayor,M,Jerry,Dyer,63,R,,CA,[13],Fresno
615,Mayor_Steinberg,Mayor,M,Darrell,Steinberg,63,D,,CA,"[6,7]",Sacramento
616,QuintonLucasKC,Mayor,M,Quinton,Lucas,38,D,,MO,[5],Kansas City
617,MayorGiles,Mayor,M,John,Giles,62,R,,AZ,"[4, 5, 6]",Mesa
618,andreforatlanta,Mayor,M,Andre,Dickens,48,D,,GA,[5],Atlanta
619,Jean_Stothert,Mayor,F,Jean,Stothert,68,R,,NE,[2],Omaha
620,JohnSuthers,Mayor,M,John,Suthers,71,R,,CO,[5],Colorado Springs
621,maryannbaldwin,Mayor,F,Mary-Ann,Baldwin,65,D,,NC,[4],Raleigh
622,LongBeachMayor,Mayor,M,Rex,Richardson,39,D,,CA,[42],Long Beach
623,BobbyDyerVB,Mayor,M,Bobby,Dyer,73,R,,VA,[2],Virginia Beach
624,FrancisSuarez,Mayor,M,Francis,X.,45,R,,FL,[27],Miami
625,MayorShengThao,Mayor,F,Sheng,Thao,38,D,,CA,[12],Oakland
626,Jacob_Frey,Mayor,M,Jacob,Frey,41,D,,MN,[5],Minneapolis
627,gtbynum,Mayor,M,G.,T.,45,R,,OK,[1],Tulsa
628,karenkgoh,Mayor,F,Karen,Goh,67,R,,CA,[22],Bakersfield
629,BWhippleKS,Mayor,M,Brandon,Whipple,40,D,,KS,[4],Wichita
